SiteUUID,PODorPOUSite,Longitude,Latitude
KSwr_S10396,POD,-100.7531,39.47714
KSwr_S10397,POD,-101.1773,38.48912
KSwr_S10398,POD,-101.1746,38.48801
KSwr_S10399,POD,-101.5695,38.52397
KSwr_S104,POD,-99.91048,38.4409
KSwr_S104,POD,-99.91048,38.4409
KSwr_S1040,POD,-99.10515,39.67469
KSwr_S10400,POD,-100.4285,37.86376
KSwr_S10401,POD,-99.02219,38.2214
KSwr_S10402,POD,-98.77979,38.03951
KSwr_S10403,POD,-98.76158,38.04663
KSwr_S10404,POD,-98.25716,37.64012
KSwr_S10405,POD,-98.14359,37.67473
KSwr_S10406,POD,-98.61613,37.80228
KSwr_S10407,POD,-100.2828,37.75562
KSwr_S10408,POD,-100.299,37.74531
KSwr_S10409,POD,-101.1937,37.13605
KSwr_S1041,POD,-99.05251,39.66389
KSwr_S10410,POD,-100.3131,39.43325
KSwr_S10411,POD,-100.1284,37.84125
KSwr_S10412,POD,-100.9078,38.58092
KSwr_S10413,POD,-100.1255,37.82659
KSwr_S10414,POD,-101.073,38.44609
KSwr_S10415,POD,-100.9803,37.85494
KSwr_S10416,POD,-101.0899,37.90487
KSwr_S10417,POD,-101.0899,37.91217
KSwr_S10418,POD,-101.0947,37.9124
KSwr_S10419,POD,-101.0942,37.90404
KSwr_S1042,POD,-101.2306,37.30291
KSwr_S10420,POD,-101.1259,37.92678
KSwr_S10421,POD,-101.1352,37.91934
KSwr_S10422,POD,-101.1259,37.91951
KSwr_S10423,POD,-101.1604,37.83022
KSwr_S10424,POD,-101.172,37.83133
KSwr_S10425,POD,-101.0711,38.13777
KSwr_S10426,POD,-100.1693,37.85563
KSwr_S10427,POD,-100.1682,37.85911
KSwr_S10428,POD,-99.76997,37.80832
KSwr_S10429,POD,-101.9006,37.26119
KSwr_S1043,POD,-102.0325,39.33157
KSwr_S10430,POD,-100.2342,37.44928
KSwr_S10431,POD,-100.22,37.46033
KSwr_S10432,POD,-102.01035,37.84147
KSwr_S10433,POD,-101.7513,37.72657
KSwr_S10433,POD,-101.7513,37.72657
KSwr_S10434,POD,-101.8577,37.74162
KSwr_S10434,POD,-101.8577,37.74162
KSwr_S10435,POD,-100.6523,37.53009
KSwr_S10436,POD,-102.0216,39.7404
KSwr_S10437,POD,-102.017,39.73802
KSwr_S10438,POD,-100.3063,39.17067
KSwr_S10439,POD,-100.206,37.46028
KSwr_S1044,POD,-101.399,37.66953
KSwr_S10440,POD,-100.5157,37.59847
KSwr_S10441,POD,-98.96197,37.98552
KSwr_S10442,POD,-100.7201,37.68561
KSwr_S10443,POD,-99.66885,38.2389
KSwr_S10444,POD,-99.36873,38.19438
KSwr_S10445,POD,-98.7057,39.53859
KSwr_S10446,POD,-98.70538,39.53804
KSwr_S10447,POD,-101.6537,37.45335
KSwr_S10448,POD,-99.60679,37.86493
KSwr_S10449,POD,-100.2417,39.13797
KSwr_S1045,POD,-101.4855,38.55372
KSwr_S10450,POD,-100.8295,37.77129
KSwr_S10451,POD,-101.6011,37.69179
KSwr_S10452,POD,-101.5115,39.6043
KSwr_S10453,POD,-102.0368,39.2315
KSwr_S10454,POD,-100.3755,37.97895
KSwr_S10455,POD,-100.4094,37.95879
KSwr_S10456,POD,-100.6839,37.94808
KSwr_S10457,POD,-100.6968,37.95631
KSwr_S10458,POD,-100.3625,39.16608
KSwr_S10459,POD,-100.5613,37.47844
KSwr_S1046,POD,-97.17698,39.35474
KSwr_S10460,POD,-100.3059,37.48862
KSwr_S10460,POD,-100.3059,37.48862
KSwr_S10461,POD,-101.8442,39.21205
KSwr_S10462,POD,-101.3615,37.94667
KSwr_S10463,POD,-101.3605,37.94728
KSwr_S10464,POD,-101.8251,39.2189
KSwr_S10465,POD,-100.5886,37.68611
KSwr_S10466,POD,-100.3975,37.39732
KSwr_S10467,POD,-100.2287,37.76241
KSwr_S10468,POD,-100.2193,37.75503
KSwr_S10469,POD,-100.2286,37.75507
KSwr_S1047,POD,-98.53696,39.4933
