MethodUUID,OrganizationUUID,ReportingUnitUUID,VariableSpecificUUID,WaterSourceUUID,AllocationCropDutyAmount,Amount,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,InterbasinTransferFromID,InterbasinTransferToID,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifierCV,TimeframeEnd,TimeframeStart
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_4,AZ_1,,0.0,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,52363.0508,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_4,AZ_1,,0.0,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1987,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,53943.898,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1987,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_4,AZ_1,,0.0,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1988,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,54621.4584,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1988,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_4,AZ_1,,0.0,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1989,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,55928.9216,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1989,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_4,AZ_1,,0.0,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1990,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,54972.26936000001,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1990,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_4,AZ_1,,0.0,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1991,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,55547.11604,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1991,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_4,AZ_1,,0.0,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1992,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,54457.80224,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1992,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_4,AZ_1,,0.0,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1993,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,55857.28,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1993,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_4,AZ_1,,0.0,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1994,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,57296.1904,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1994,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_4,AZ_1,,0.0,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1995,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,58919.65548,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1995,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_4,AZ_1,,0.0,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1996,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,60152.70591,Municipal                                         ,,,,06/15/2020,,,,,,,,,,1996,,,
