AllocationApplicationDate,AllocationAssociatedConsumptiveUseSiteIDs,AllocationAssociatedWithdrawalSiteIDs,AllocationBasisCV,AllocationChangeApplicationIndicator,AllocationCommunityWaterSupplySystem,AllocationCropDutyAmount,AllocationExpirationDate,AllocationFlow_CFS,AllocationLegalStatusCV,AllocationNativeID,AllocationOwner,AllocationPriorityDate,AllocationSDWISIdentifierCV,AllocationTimeframeEnd,AllocationTimeframeStart,AllocationTypeCV,AllocationVolume_AF,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,ExemptOfVolumeFlowPriority,GeneratedPowerCapacityMW,IrrigatedAcreage,IrrigationMethodCV,LegacyAllocationIDs,MethodUUID,OrganizationUUID,PopulationServed,PowerType,PrimaryUseCategory,SiteUUID,VariableSpecificUUID,WaterAllocationNativeURL,WaterSourceUUID,SiteName,SiteTypeCV,Latitude,Longitude,ReasonRemoved,index
,,,,,,,,,Certificated Issued,29428,Unspecified,1977-02-17,,12/31,01/01,Appropriation,"424.0, 484.0, 262.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S21987, KSwr_S16824, KSwr_S21986",KDADWR_Allocation All,,KSwr_WS57,,,,,Bad Flow or Volume,14356.0
,,,,,,,,,Certificated Issued,29430,Unspecified,1977-02-17,,12/31,01/01,Appropriation,"376.0, 276.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S21988, KSwr_S21989",KDADWR_Allocation All,,KSwr_WS44,,,,,Bad Flow or Volume,14357.0
,,,,,,,,,Certificated Issued,29435,Unspecified,1977-02-17,,12/31,01/01,Appropriation,"554.0, 258.0, 518.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S21994, KSwr_S3112, KSwr_S3111",KDADWR_Allocation All,,KSwr_WS39,,,,,Bad Flow or Volume,14362.0
,,,,,,,,,Certificated Issued,29446,Unspecified,1977-02-18,,12/31,01/01,Appropriation,"124.0, 150.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22010, KSwr_S22009",KDADWR_Allocation All,,KSwr_WS18,,,,,Bad Flow or Volume,14371.0
,,,,,,,,,Certificated Issued,29473,Unspecified,1977-02-22,,12/31,01/01,Appropriation,"80.0, 213.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22032, KSwr_S22031",KDADWR_Allocation All,,KSwr_WS24,,,,,Bad Flow or Volume,14387.0
,,,,,,,,,Certificated Issued,29496,Unspecified,1977-02-23,,12/31,01/01,Appropriation,"121.0, 46.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22048, KSwr_S22047",KDADWR_Allocation All,,KSwr_WS53,,,,,Bad Flow or Volume,14403.0
,,,,,,,,,Certificated Issued,29502,Unspecified,1977-02-23,,12/31,01/01,Appropriation,"41.0, 28.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22055, KSwr_S22054",KDADWR_Allocation All,,KSwr_WS102,,,,,Bad Flow or Volume,14409.0
,,,,,,,,,Certificated Issued,29512,Unspecified,1977-02-23,,12/31,01/01,Appropriation,"11.0, 20.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22061, KSwr_S22060",KDADWR_Allocation All,,KSwr_WS34,,,,,Bad Flow or Volume,14413.0
,,,,,,,,,Certificated Issued,29525,Unspecified,1977-02-24,,12/31,01/01,Appropriation,"0.0, 145.0, 165.0, 134.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22104, KSwr_S22108, KSwr_S22103, KSwr_S22105, KSwr_S22102, KSwr_S22101, KSwr_S22098, KSwr_S22099, KSwr_S22107, KSwr_S22100, KSwr_S22106, KSwr_S22109",KDADWR_Allocation All,,KSwr_WS24,,,,,Bad Flow or Volume,14425.0
,,,,,,,,,Certificated Issued,29537,Unspecified,1977-02-24,,12/31,01/01,Appropriation,"240.0, 20.009, 39.006","Irrigation, Stockwater",,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22115, KSwr_S22116, KSwr_S22114",KDADWR_Allocation All,,KSwr_WS87,,,,,Bad Flow or Volume,14431.0
,,,,,,,,,Certificated Issued,29566,Unspecified,1977-02-28,,12/31,01/01,Appropriation,"211.0, 109.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22142, KSwr_S22143",KDADWR_Allocation All,,KSwr_WS111,,,,,Bad Flow or Volume,14452.0
,,,,,,,,,Certificated Issued,29567,Unspecified,1977-02-28,,12/31,01/01,Appropriation,"832.07, 682.1, 691.086, 677.804",Industrial,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22145, KSwr_S22147, KSwr_S22146, KSwr_S22144",KDADWR_Allocation All,,KSwr_WS24,,,,,Bad Flow or Volume,14453.0
,,,,,,,,,Certificated Issued,29579,Unspecified,1977-02-28,,12/31,01/01,Appropriation,"48.0, 197.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S2695, KSwr_S6090",KDADWR_Allocation All,,KSwr_WS120,,,,,Bad Flow or Volume,14460.0
,,,,,,,,,Certificated Issued,29582,Unspecified,1977-02-28,,12/31,01/01,Appropriation,"240.0, 37.011","Irrigation, Stockwater",,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22152, KSwr_S9133",KDADWR_Allocation All,,KSwr_WS87,,,,,Bad Flow or Volume,14462.0
,,,,,,,,,Certificated Issued,29625,Unspecified,1977-03-02,,12/31,01/01,Appropriation,"42.0, 70.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22180, KSwr_S22179",KDADWR_Allocation All,,KSwr_WS37,,,,,Bad Flow or Volume,14487.0
,,,,,,,,,Certificated Issued,29626,Unspecified,1977-03-03,,12/31,01/01,Appropriation,"53.0, 7.0","Irrigation, Recreation",,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,KSwr_S22181,KDADWR_Allocation All,,KSwr_WS34,,,,,Bad Flow or Volume,14488.0
,,,,,,,,,Certificated Issued,29643,Unspecified,1977-03-03,,12/31,01/01,Appropriation,"0.0, 69.0, 134.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22192, KSwr_S22191, KSwr_S22193",KDADWR_Allocation All,,KSwr_WS32,,,,,Bad Flow or Volume,14501.0
,,,,,,,,,Certificated Issued,29677,Unspecified,1977-03-07,,12/31,01/01,Appropriation,"210.0, 124.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22216, KSwr_S22215",KDADWR_Allocation All,,KSwr_WS24,,,,,Bad Flow or Volume,14526.0
,,,,,,,,,Certificated Issued,29692,Unspecified,1977-03-07,,12/31,01/01,Appropriation,"56.0, 51.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22224, KSwr_S22223",KDADWR_Allocation All,,KSwr_WS119,,,,,Bad Flow or Volume,14534.0
,,,,,,,,,Certificated Issued,29703,Unspecified,1977-03-08,,12/31,01/01,Appropriation,"65.5, 67.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22233, KSwr_S22234, KSwr_S22232",KDADWR_Allocation All,,KSwr_WS45,,,,,Bad Flow or Volume,14543.0
,,,,,,,,,Certificated Issued,29735,Unspecified,1977-03-10,,12/31,01/01,Appropriation,"74.921, 70.30199999999999",Stockwater,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22249, KSwr_S22248",KDADWR_Allocation All,,KSwr_WS25,,,,,Bad Flow or Volume,14560.0
,,,,,,,,,Certificated Issued,29751,Unspecified,1977-03-11,,12/31,01/01,Appropriation,"163.0, 39.988","Irrigation, Stockwater",,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22264, KSwr_S22265",KDADWR_Allocation All,,KSwr_WS24,,,,,Bad Flow or Volume,14574.0
,,,,,,,,,Certificated Issued,29764,Unspecified,1977-03-14,,12/31,01/01,Appropriation,"74.0, 36.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22273, KSwr_S22274",KDADWR_Allocation All,,KSwr_WS53,,,,,Bad Flow or Volume,14582.0
,,,,,,,,,Certificated Issued,29777,Unspecified,1977-03-14,,12/31,01/01,Appropriation,"88.0, 112.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22278, KSwr_S22279",KDADWR_Allocation All,,KSwr_WS33,,,,,Bad Flow or Volume,14587.0
,,,,,,,,,Certificated Issued,29780,Unspecified,1977-03-14,,12/31,01/01,Appropriation,"115.0, 157.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22282, KSwr_S22281",KDADWR_Allocation All,,KSwr_WS119,,,,,Bad Flow or Volume,14590.0
,,,,,,,,,Certificated Issued,29796,Unspecified,1977-03-15,,12/31,01/01,Appropriation,"18.383, 13.994000000000002",Municipal,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22290, KSwr_S22292, KSwr_S22291",KDADWR_Allocation All,,KSwr_WS45,,,,,Bad Flow or Volume,14600.0
,,,,,,,,,Certificated Issued,29838,Unspecified,1977-03-17,,12/31,01/01,Appropriation,"96.0, 70.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22319, KSwr_S22320",KDADWR_Allocation All,,KSwr_WS102,,,,,Bad Flow or Volume,14626.0
,,,,,,,,,Certificated Issued,29882,Unspecified,1977-03-23,,12/31,01/01,Appropriation,"412.0, 237.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22350, KSwr_S22351",KDADWR_Allocation All,,KSwr_WS57,,,,,Bad Flow or Volume,14656.0
,,,,,,,,,Certificated Issued,29898,Unspecified,1977-03-24,,12/31,01/01,Appropriation,"181.0, 166.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22364, KSwr_S22365",KDADWR_Allocation All,,KSwr_WS111,,,,,Bad Flow or Volume,14670.0
,,,,,,,,,Certificated Issued,299,Unspecified,1948-01-27,,12/31,01/01,Appropriation,"40.0, 137.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S134, KSwr_S135",KDADWR_Allocation All,,KSwr_WS34,,,,,Bad Flow or Volume,14672.0
,,,,,,,,,Certificated Issued,29932,Unspecified,1977-03-28,,12/31,01/01,Appropriation,"408.0, 643.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S816, KSwr_S22381",KDADWR_Allocation All,,KSwr_WS24,,,,,Bad Flow or Volume,14692.0
,,,,,,,,,Certificated Issued,29967,Unspecified,1977-03-30,,12/31,01/01,Appropriation,"274.0, 159.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S2851, KSwr_S22403",KDADWR_Allocation All,,KSwr_WS111,,,,,Bad Flow or Volume,14711.0
,,,,,,,,,Certificated Issued,29971,Unspecified,1977-03-30,,12/31,01/01,Appropriation,"275.0, 195.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22405, KSwr_S22406",KDADWR_Allocation All,,KSwr_WS24,,,,,Bad Flow or Volume,14714.0
,,,,,,,,,Certificated Issued,29981,Unspecified,1977-03-30,,12/31,01/01,Appropriation,"113.0, 217.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22413, KSwr_S22414",KDADWR_Allocation All,,KSwr_WS86,,,,,Bad Flow or Volume,14724.0
,,,,,,,,,Certificated Issued,29985,Unspecified,1977-03-31,,12/31,01/01,Appropriation,"59.0, 92.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22416, KSwr_S22417",KDADWR_Allocation All,,KSwr_WS18,,,,,Bad Flow or Volume,14726.0
,,,,,,,,,Certificated Issued,30050,Unspecified,1977-04-05,,12/31,01/01,Appropriation,"487.0, 767.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22463, KSwr_S22464",KDADWR_Allocation All,,KSwr_WS24,,,,,Bad Flow or Volume,14771.0
,,,,,,,,,Certificated Issued,30066,Unspecified,1977-04-06,,12/31,01/01,Appropriation,"65.0, 91.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22475, KSwr_S22474",KDADWR_Allocation All,,KSwr_WS47,,,,,Bad Flow or Volume,14781.0
,,,,,,,,,Certificated Issued,30073,Unspecified,1977-04-07,,12/31,01/01,Appropriation,"66.0, 114.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22482, KSwr_S22483",KDADWR_Allocation All,,KSwr_WS86,,,,,Bad Flow or Volume,14788.0
,,,,,,,,,Certificated Issued,30076,Unspecified,1977-04-08,,12/31,01/01,Appropriation,"120.0, 126.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22485, KSwr_S22486",KDADWR_Allocation All,,KSwr_WS25,,,,,Bad Flow or Volume,14790.0
,,,,,,,,,Certificated Issued,30090,Unspecified,1977-04-11,,12/31,01/01,Appropriation,"404.0, 276.0, 132.0, 215.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22494, KSwr_S22495, KSwr_S22496, KSwr_S22493",KDADWR_Allocation All,,KSwr_WS17,,,,,Bad Flow or Volume,14800.0
,,,,,,,,,Certificated Issued,30114,Unspecified,1977-04-13,,12/31,01/01,Appropriation,"274.0, 234.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22507, KSwr_S22506",KDADWR_Allocation All,,KSwr_WS24,,,,,Bad Flow or Volume,14813.0
,,,,,,,,,Certificated Issued,30153,Unspecified,1977-04-18,,12/31,01/01,Appropriation,"90.0, 22.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22531, KSwr_S17703",KDADWR_Allocation All,,KSwr_WS32,,,,,Bad Flow or Volume,14836.0
,,,,,,,,,Certificated Issued,30183,Unspecified,1977-04-19,,12/31,01/01,Appropriation,"264.0, 252.0, 199.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22549, KSwr_S22548, KSwr_S22547",KDADWR_Allocation All,,KSwr_WS57,,,,,Bad Flow or Volume,14854.0
,,,,,,,,,Certificated Issued,30187,Unspecified,1977-04-19,,12/31,01/01,Appropriation,"82.0, 79.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22553, KSwr_S22554",KDADWR_Allocation All,,KSwr_WS69,,,,,Bad Flow or Volume,14858.0
,,,,,,,,,Certificated Issued,30201,Unspecified,1977-04-21,,12/31,01/01,Appropriation,"75.0, 60.0, 78.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22564, KSwr_S22565, KSwr_S22566",KDADWR_Allocation All,,KSwr_WS24,,,,,Bad Flow or Volume,14867.0
,,,,,,,,,Certificated Issued,30206,Unspecified,1977-04-25,,12/31,01/01,Appropriation,"81.0, 58.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22571, KSwr_S22570",KDADWR_Allocation All,,KSwr_WS73,,,,,Bad Flow or Volume,14871.0
,,,,,,,,,Certificated Issued,30208,Unspecified,1977-04-25,,12/31,01/01,Appropriation,"58.0, 44.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22572, KSwr_S22573",KDADWR_Allocation All,,KSwr_WS53,,,,,Bad Flow or Volume,14872.0
,,,,,,,,,Certificated Issued,30235,Unspecified,1977-04-28,,12/31,01/01,Appropriation,"107.411, 67.516",Municipal,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22591, KSwr_S22590",KDADWR_Allocation All,,KSwr_WS75,,,,,Bad Flow or Volume,14888.0
,,,,,,,,,Certificated Issued,30251,Unspecified,1977-05-03,,12/31,01/01,Appropriation,"0.0, 294.0, 159.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22600, KSwr_S22601, KSwr_S22602, KSwr_S22603, KSwr_S22605, KSwr_S22610, KSwr_S22604, KSwr_S22608, KSwr_S22609, KSwr_S22606, KSwr_S22607, KSwr_S22599",KDADWR_Allocation All,,KSwr_WS47,,,,,Bad Flow or Volume,14896.0
,,,,,,,,,Certificated Issued,30252,Unspecified,1977-05-03,,12/31,01/01,Appropriation,"20.0, 61.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22612, KSwr_S22611",KDADWR_Allocation All,,KSwr_WS86,,,,,Bad Flow or Volume,14897.0
,,,,,,,,,Certificated Issued,30254,Unspecified,1977-05-03,,12/31,01/01,Appropriation,"97.0, 119.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22615, KSwr_S22614",KDADWR_Allocation All,,KSwr_WS43,,,,,Bad Flow or Volume,14899.0
,,,,,,,,,Certificated Issued,30268,Unspecified,1977-05-04,,12/31,01/01,Appropriation,"155.0, 151.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22630, KSwr_S22629",KDADWR_Allocation All,,KSwr_WS47,,,,,Bad Flow or Volume,14913.0
,,,,,,,,,Certificated Issued,30296,Unspecified,1977-05-10,,12/31,01/01,Appropriation,"13.0, 206.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22646, KSwr_S22647",KDADWR_Allocation All,,KSwr_WS18,,,,,Bad Flow or Volume,14926.0
,,,,,,,,,Certificated Issued,30308,Unspecified,1977-05-13,,12/31,01/01,Appropriation,"48.0, 65.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22653, KSwr_S22654",KDADWR_Allocation All,,KSwr_WS44,,,,,Bad Flow or Volume,14932.0
,,,,,,,,,Certificated Issued,30320,Unspecified,1977-05-16,,12/31,01/01,Appropriation,"21.0, 46.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22666, KSwr_S22665",KDADWR_Allocation All,,KSwr_WS32,,,,,Bad Flow or Volume,14944.0
,,,,,,,,,Certificated Issued,30322,Unspecified,1977-05-17,,12/31,01/01,Appropriation,"235.0, 302.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22668, KSwr_S22669",KDADWR_Allocation All,,KSwr_WS44,,,,,Bad Flow or Volume,14946.0
,,,,,,,,,Certificated Issued,30342,Unspecified,1977-05-18,,12/31,01/01,Appropriation,"51.0, 39.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22681, KSwr_S22680",KDADWR_Allocation All,,KSwr_WS18,,,,,Bad Flow or Volume,14957.0
,,,,,,,,,Certificated Issued,30349,Unspecified,1977-05-19,,12/31,01/01,Appropriation,"34.0, 30.0","Irrigation, Recreation",,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22686, KSwr_S22687",KDADWR_Allocation All,,KSwr_WS24,,,,,Bad Flow or Volume,14962.0
,,,,,,,,,Certificated Issued,30350,Unspecified,1977-05-19,,12/31,01/01,Appropriation,"150.0, 30.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22688, KSwr_S22689",KDADWR_Allocation All,,KSwr_WS32,,,,,Bad Flow or Volume,14963.0
,,,,,,,,,Certificated Issued,30377,Unspecified,1977-05-24,,12/31,01/01,Appropriation,"0.0, 10.962, 12.828",Municipal,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22711, KSwr_S22709, KSwr_S22710, KSwr_S22708",KDADWR_Allocation All,,KSwr_WS45,,,,,Bad Flow or Volume,14981.0
,,,,,,,,,Certificated Issued,30394,Unspecified,1977-05-26,,12/31,01/01,Appropriation,"259.0, 237.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22727, KSwr_S22726",KDADWR_Allocation All,,KSwr_WS104,,,,,Bad Flow or Volume,14991.0
,,,,,,,,,Certificated Issued,30403,Unspecified,1977-05-27,,12/31,01/01,Appropriation,"47.0, 79.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22734, KSwr_S22733",KDADWR_Allocation All,,KSwr_WS45,,,,,Bad Flow or Volume,14997.0
,,,,,,,,,Certificated Issued,30430,Unspecified,1977-06-02,,12/31,01/01,Appropriation,"35.0, 165.0","Irrigation, Industrial",,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,KSwr_S22761,KDADWR_Allocation All,,KSwr_WS86,,,,,Bad Flow or Volume,15017.0
,,,,,,,,,Certificated Issued,30433,Unspecified,1977-06-02,,12/31,01/01,Appropriation,"34.556, 45.481",Municipal,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S13566, KSwr_S13567",KDADWR_Allocation All,,KSwr_WS75,,,,,Bad Flow or Volume,15019.0
,,,,,,,,,Certificated Issued,30477,Unspecified,1977-06-14,,12/31,01/01,Appropriation,"83.0, 87.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22789, KSwr_S22790",KDADWR_Allocation All,,KSwr_WS119,,,,,Bad Flow or Volume,15046.0
,,,,,,,,,Certificated Issued,30487,Unspecified,1977-06-15,,12/31,01/01,Appropriation,"115.0, 221.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22799, KSwr_S22800",KDADWR_Allocation All,,KSwr_WS25,,,,,Bad Flow or Volume,15056.0
,,,,,,,,,Certificated Issued,30526,Unspecified,1977-06-23,,12/31,01/01,Appropriation,"3.591, 13.0","Irrigation, Municipal",,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,KSwr_S9125,KDADWR_Allocation All,,KSwr_WS104,,,,,Bad Flow or Volume,15080.0
,,,,,,,,,Certificated Issued,30549,Unspecified,1977-06-29,,12/31,01/01,Appropriation,"97.0, 95.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22835, KSwr_S22834",KDADWR_Allocation All,,KSwr_WS32,,,,,Bad Flow or Volume,15095.0
,,,,,,,,,Certificated Issued,30588,Unspecified,1977-07-12,,12/31,01/01,Appropriation,"0.0, 525.977",Industrial,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22860, KSwr_S22859",KDADWR_Allocation All,,KSwr_WS86,,,,,Bad Flow or Volume,15123.0
,,,,,,,,,Certificated Issued,30597,Unspecified,1977-07-14,,12/31,01/01,Appropriation,"76.0, 52.0, 44.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22870, KSwr_S22871, KSwr_S22868, KSwr_S22869",KDADWR_Allocation All,,KSwr_WS47,,,,,Bad Flow or Volume,15132.0
,,,,,,,,,Certificated Issued,30606,Unspecified,1977-07-18,,12/31,01/01,Appropriation,"186.0, 269.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22878, KSwr_S22877",KDADWR_Allocation All,,KSwr_WS102,,,,,Bad Flow or Volume,15140.0
,,,,,,,,,Certificated Issued,30609,Unspecified,1977-07-18,,12/31,01/01,Appropriation,"187.0, 111.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22881, KSwr_S22882",KDADWR_Allocation All,,KSwr_WS96,,,,,Bad Flow or Volume,15143.0
,,,,,,,,,Certificated Issued,30618,Unspecified,1977-07-19,,12/31,01/01,Appropriation,"105.0, 86.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22887, KSwr_S22888",KDADWR_Allocation All,,KSwr_WS111,,,,,Bad Flow or Volume,15149.0
,,,,,,,,,Certificated Issued,30630,Unspecified,1977-07-20,,12/31,01/01,Appropriation,"128.0, 68.0, 60.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22899, KSwr_S22898, KSwr_S22897",KDADWR_Allocation All,,KSwr_WS32,,,,,Bad Flow or Volume,15159.0
,,,,,,,,,Certificated Issued,30636,Unspecified,1977-07-21,,12/31,01/01,Appropriation,"208.991, 235.077, 223.415",Municipal,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22905, KSwr_S22906, KSwr_S22904",KDADWR_Allocation All,,KSwr_WS24,,,,,Bad Flow or Volume,15164.0
,,,,,,,,,Certificated Issued,3064,Unspecified,1954-09-28,,12/31,01/01,Appropriation,"4.3, 95.4","Irrigation, Recreation",,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,KSwr_S1490,KDADWR_Allocation All,,KSwr_WS86,,,,,Bad Flow or Volume,15167.0
,,,,,,,,,Certificated Issued,30646,Unspecified,1977-07-26,,12/31,01/01,Appropriation,"194.0, 123.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22915, KSwr_S22914",KDADWR_Allocation All,,KSwr_WS39,,,,,Bad Flow or Volume,15173.0
