WaterSourceUUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
OTTO METZGER DITCH-CODWR,OTTO METZGER DITCH-CODWR,,Unspecified,Fresh,,
OREGON PLACER SYSTEM-CODWR,OREGON PLACER SYSTEM-CODWR,,Unspecified,Fresh,,
OSCAR RICHARDS DITCH-CODWR,OSCAR RICHARDS DITCH-CODWR,,Unspecified,Fresh,,
OVERTON NNT DAWSON-CODWR,OVERTON NNT DAWSON-CODWR,,Unspecified,Fresh,,
OTIS WILLOUGHBY PUMP-CODWR,OTIS WILLOUGHBY PUMP-CODWR,,Unspecified,Fresh,,
OSWALD 11-16 TR-CODWR,OSWALD 11-16 TR-CODWR,,Unspecified,Fresh,,
OURAY RANCH AUG PLAN POD-CODWR,OURAY RANCH AUG PLAN POD-CODWR,,Unspecified,Fresh,,
NORRIS WELL NO 3-CODWR,NORRIS WELL NO 3-CODWR,,Unspecified,Fresh,,
NORTH ROADSIDE POND-CODWR,NORTH ROADSIDE POND-CODWR,,Unspecified,Fresh,,
NOWELS PIPELINE-CODWR,NOWELS PIPELINE-CODWR,,Unspecified,Fresh,,
P & L DITCH-CODWR,P & L DITCH-CODWR,,Unspecified,Fresh,,
