PODSiteUUID,POUSiteUUID,StartDate,EndDate
UTwr_S57815,UTwr_S462751,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463103,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S462754,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S383757,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463104,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463117,01/01/2021,12/31/2021
UTwr_S57815,UTwr_S463107,01/01/2021,12/31/2021
UTwr_S58128,UTwr_S457531,01/01/2021,12/31/2021
UTwr_S58145,UTwr_S463007,01/01/2021,12/31/2021
UTwr_S58145,UTwr_S463006,01/01/2021,12/31/2021
UTwr_S58145,UTwr_S463008,01/01/2021,12/31/2021
UTwr_S58145,UTwr_S463004,01/01/2021,12/31/2021
UTwr_S58145,UTwr_S463005,01/01/2021,12/31/2021
UTwr_S58145,UTwr_S463003,01/01/2021,12/31/2021
UTwr_S58146,UTwr_S463007,01/01/2021,12/31/2021
UTwr_S58146,UTwr_S463006,01/01/2021,12/31/2021
UTwr_S58146,UTwr_S463008,01/01/2021,12/31/2021
UTwr_S58146,UTwr_S463004,01/01/2021,12/31/2021
UTwr_S58146,UTwr_S463005,01/01/2021,12/31/2021
UTwr_S58146,UTwr_S463003,01/01/2021,12/31/2021
UTwr_S58154,UTwr_S462997,01/01/2021,12/31/2021
UTwr_S58154,UTwr_S463000,01/01/2021,12/31/2021
UTwr_S58154,UTwr_S463001,01/01/2021,12/31/2021
UTwr_S58154,UTwr_S462996,01/01/2021,12/31/2021
UTwr_S58154,UTwr_S462999,01/01/2021,12/31/2021
UTwr_S58154,UTwr_S462807,01/01/2021,12/31/2021
UTwr_S58154,UTwr_S463002,01/01/2021,12/31/2021
UTwr_S58154,UTwr_S462998,01/01/2021,12/31/2021
UTwr_S58153,UTwr_S462997,01/01/2021,12/31/2021
UTwr_S58153,UTwr_S463000,01/01/2021,12/31/2021
UTwr_S58153,UTwr_S463001,01/01/2021,12/31/2021
UTwr_S58153,UTwr_S462996,01/01/2021,12/31/2021
UTwr_S58153,UTwr_S462999,01/01/2021,12/31/2021
UTwr_S58153,UTwr_S462807,01/01/2021,12/31/2021
UTwr_S58153,UTwr_S463002,01/01/2021,12/31/2021
UTwr_S58153,UTwr_S462998,01/01/2021,12/31/2021
UTwr_S58956,UTwr_S462954,01/01/2021,12/31/2021
UTwr_S58232,UTwr_S461593,01/01/2021,12/31/2021
UTwr_S58232,UTwr_S461594,01/01/2021,12/31/2021
UTwr_S57848,UTwr_S457544,01/01/2021,12/31/2021
UTwr_S57854,UTwr_S457433,01/01/2021,12/31/2021
UTwr_S57853,UTwr_S457433,01/01/2021,12/31/2021
UTwr_S58201,UTwr_S457533,01/01/2021,12/31/2021
UTwr_S58483,UTwr_S462882,01/01/2021,12/31/2021
UTwr_S58483,UTwr_S462881,01/01/2021,12/31/2021
UTwr_S58483,UTwr_S462883,01/01/2021,12/31/2021
UTwr_S58483,UTwr_S462833,01/01/2021,12/31/2021
UTwr_S58483,UTwr_S462880,01/01/2021,12/31/2021
UTwr_S58485,UTwr_S462882,01/01/2021,12/31/2021
UTwr_S58485,UTwr_S462881,01/01/2021,12/31/2021
UTwr_S58485,UTwr_S462883,01/01/2021,12/31/2021
UTwr_S58485,UTwr_S462833,01/01/2021,12/31/2021
UTwr_S58485,UTwr_S462880,01/01/2021,12/31/2021
UTwr_S58484,UTwr_S462882,01/01/2021,12/31/2021
UTwr_S58484,UTwr_S462881,01/01/2021,12/31/2021
UTwr_S58484,UTwr_S462883,01/01/2021,12/31/2021
UTwr_S58484,UTwr_S462833,01/01/2021,12/31/2021
UTwr_S58484,UTwr_S462880,01/01/2021,12/31/2021
UTwr_S18116,UTwr_S457524,01/01/2021,12/31/2021
UTwr_S18127,UTwr_S462866,01/01/2021,12/31/2021
UTwr_S18127,UTwr_S462870,01/01/2021,12/31/2021
UTwr_S18127,UTwr_S462867,01/01/2021,12/31/2021
UTwr_S18127,UTwr_S462868,01/01/2021,12/31/2021
UTwr_S18127,UTwr_S462869,01/01/2021,12/31/2021
UTwr_S57654,UTwr_S462968,01/01/2021,12/31/2021
UTwr_S57317,UTwr_S462968,01/01/2021,12/31/2021
UTwr_S57674,UTwr_S457348,01/01/2021,12/31/2021
UTwr_S57674,UTwr_S457347,01/01/2021,12/31/2021
UTwr_S18144,UTwr_S457535,01/01/2021,12/31/2021
