index,SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
128,NDwr_S127,,NDwr_WS2,,Unspecified,Barnes,4326,,,,,46.93263,-97.73161,,,POD,Unspecified,14005622AB,,Surface Water,ND,
129,NDwr_S128,,NDwr_WS2,,Unspecified,Cass,4326,,,,,46.91382,-97.43221,,,POD,Unspecified,14005425AD,,Surface Water,ND,
130,NDwr_S129,,NDwr_WS2,,Unspecified,Walsh,4326,,,,,48.41776,-97.40752,,,POD,Unspecified,15705313DA,,Surface Water,ND,
131,NDwr_S130,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.74532,-103.70926,,,POD,Unspecified,14910211BB,,Surface Water,ND,
132,NDwr_S131,,NDwr_WS2,,Unspecified,Grand Forks,4326,,,,,48.01862,-97.37732,,,POD,Unspecified,15205301BA,,Surface Water,ND,
133,NDwr_S132,,NDwr_WS2,,Unspecified,Ransom,4326,,,,,46.44007,-97.67625,,,POD,Unspecified,13405612BB,,Surface Water,ND,
134,NDwr_S133,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.8791,-103.84314,,,POD,Unspecified,15110322DD,,Surface Water,ND,
135,NDwr_S134,,NDwr_WS2,,Unspecified,Barnes,4326,,,,,46.68662,-97.95796,,,POD,Unspecified,13705814AA,,Surface Water,ND,
136,NDwr_S135,,NDwr_WS2,,Unspecified,Morton,4326,,,,,46.44567,-101.23395,,,POD,Unspecified,13408403CC,,Surface Water,ND,
137,NDwr_S136,,NDwr_WS2,,Unspecified,Morton,4326,,,,,46.45295,-101.23399,,,POD,Unspecified,13408403BC,,Surface Water,ND,
138,NDwr_S137,,NDwr_WS2,,Unspecified,Golden Valley,4326,,,,,46.91677,-103.62742,,,POD,Unspecified,14010325BB,,Surface Water,ND,
139,NDwr_S138,,NDwr_WS2,,Unspecified,Morton,4326,,,,,46.81945,-100.9043,,,POD,Unspecified,13908133AA,,Surface Water,ND,
140,NDwr_S139,,NDwr_WS2,,Unspecified,Burke,4326,,,,,48.92163,-102.84366,,,POD,Unspecified,16309426BA,,Surface Water,ND,
141,NDwr_S140,,NDwr_WS2,,Unspecified,Morton,4326,,,,,46.82804,-101.17884,,,POD,Unspecified,13908329AD,,Surface Water,ND,
142,NDwr_S141,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.26843,-103.348,,,POD,Unspecified,15509912AA,,Surface Water,ND,
143,NDwr_S142,,NDwr_WS2,,Unspecified,Barnes,4326,,,,,46.93667,-97.98877,,,POD,Unspecified,14005815CD,,Surface Water,ND,
144,NDwr_S143,,NDwr_WS2,,Unspecified,Walsh,4326,,,,,48.22202,-97.46222,,,POD,Unspecified,15505328BA,,Surface Water,ND,
145,NDwr_S144,,NDwr_WS2,,Unspecified,Morton,4326,,,,,46.82981,-100.95741,,,POD,Unspecified,13908130BD,,Surface Water,ND,
146,NDwr_S145,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,48.02227,-103.77914,,,POD,Unspecified,15210206AA,,Surface Water,ND,
147,NDwr_S146,,NDwr_WS16,,Unspecified,Cass,4326,,,,,46.88226,-96.90679,,,POD,Unspecified,13904906DA,,Surface Water,ND,
148,NDwr_S147,,NDwr_WS2,,Unspecified,Stutsman,4326,,,,,47.166,-98.94601,,,POD,Unspecified,14306532BA,,Surface Water,ND,
149,NDwr_S148,,NDwr_WS2,,Unspecified,Stark,4326,,,,,46.88526,-103.1976,,,POD,Unspecified,13909905AC,,Surface Water,ND,
150,NDwr_S149,,NDwr_WS11,,Unspecified,Billings,4326,,,,,46.63545,-103.46056,,,POD,Unspecified,13710132CB,,Surface Water,ND,
151,NDwr_S150,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.5051,-103.64329,,,POD,Unspecified,15810017CC,,Surface Water,ND,
152,NDwr_S151,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.20629,-102.91738,,,POD,Unspecified,15509532AD,,Surface Water,ND,
153,NDwr_S152,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.00946,-103.98256,,,POD,Unspecified,15210403CD,,Surface Water,ND,
