AllocationCropDutyAmount,Amount,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,Geometry,InterbasinTransferFromID,InterbasinTransferToID,IrrigatedAcreage,Unnamed: 11,MethodUUID,NAICSCodeCV,OrganizationUUID,PopulationServed,PowerGeneratedGWh,PowerType,Unnamed: 18,Unnamed: 19,ReportingUnitName,ReportingUnitNativeID,ReportingUnitTypeCV,ReportYearCV,Unnamed: 24,TimeframeEnd,TimeframeStart,USGSCategoryCV,UT_VariableCV,UT_VariableSpecificCV,WaterSourceID,tempWST,in_VariableSpecificCV,in_WaterSourceNativeID
,19898.245639,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Morgan,49029,County,2008,,2009-09-30,2008-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,31674.739412,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Piute,49031,County,2008,,2009-09-30,2008-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,141594.391275,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Rich,49033,County,2008,,2009-09-30,2008-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,18934.440871,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Salt Lake,49035,County,2008,,2009-09-30,2008-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,256564.18829,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Duchesne,49013,County,2008,,2009-09-30,2008-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,112586.002289,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Emery,49015,County,2008,,2009-09-30,2008-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,55852.875011,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Garfield,49017,County,2008,,2009-09-30,2008-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,17161.640615,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Grand,49019,County,2008,,2009-09-30,2008-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,140308.259531,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Iron,49021,County,2008,,2009-09-30,2008-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,49924.868253,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Juab,49023,County,2008,,2009-09-30,2008-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,83397.319593,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Beaver,49001,County,2009,,2010-09-30,2009-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,250203.508131,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Box Elder,49003,County,2009,,2010-09-30,2009-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,106064.635418,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Cache,49005,County,2009,,2010-09-30,2009-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,29147.201981,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Carbon,49007,County,2009,,2010-09-30,2009-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,15477.815328,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Daggett,49009,County,2009,,2010-09-30,2009-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
