SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
AKwr_S633,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,M9502,,,lake,AK,,Bad Latitude,632.0
AKwr_S634,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,M9505,,,lake,AK,,Bad Latitude,633.0
AKwr_S635,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,M1404,,,lake,AK,,Bad Latitude,634.0
AKwr_S636,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,L9334,,,lake,AK,,Bad Latitude,635.0
AKwr_S637,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Mine Site 1999 Pit,,,lake,AK,,Bad Latitude,636.0
AKwr_S638,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Lake M8301,,,lake,AK,,Bad Latitude,637.0
AKwr_S639,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,"Milne Point - Creek, lakes and mine site",,,lake,AK,,Bad Latitude,638.0
AKwr_S640,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Kuparuk Mine Site D,,,lake,AK,,Bad Latitude,639.0
AKwr_S641,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,"Drill Site 18 Lake, Prudhoe",,,lake,AK,,Bad Latitude,640.0
AKwr_S642,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Sag Mine Site C/ Vern Lake,,,lake,AK,,Bad Latitude,641.0
