SiteUUID,Longitude,Latitude
CAwr_S10484,-120.96173439,38.36538349
CAwr_S10485,-121.34798509,37.10329425
CAwr_S10486,-122.09754057,38.00262879
CAwr_S10487,-121.76880505,36.47074926
CAwr_S10488,-122.43441225,39.02633795
CAwr_S10489,-122.41852796,39.01898231
CAwr_S1049,-120.99755097,39.68658833
CAwr_S10490,-120.75829967,38.45069826
CAwr_S10491,-123.4819894,39.6449079
CAwr_S10494,-120.44025601,39.96363344
CAwr_S10495,-120.36654564,39.9354186
CAwr_S10496,-120.98766252,41.01398343
CAwr_S10497,-121.09115343,40.88005713
CAwr_S10498,-118.45138948,34.5099227
CAwr_S10499,-117.98367714,34.53552979
CAwr_S105,-117.23380843,34.46415433
CAwr_S1050,-122.07382995,37.03404042
CAwr_S10500,-117.99638805,34.71195259
CAwr_S10501,-117.92520152,34.69734649
CAwr_S10502,-118.19286583,34.43067692
CAwr_S10503,-118.65483775,34.42336205
CAwr_S10504,-118.6308,34.4173
CAwr_S10505,-117.7347,34.1029
CAwr_S10506,-117.7284,34.0519
CAwr_S10507,-117.7264,34.0595
CAwr_S10508,-118.0018,34.1278
CAwr_S10509,-117.82892502,34.02386846
CAwr_S1051,-120.49530571,38.11010253
CAwr_S10510,-118.477,34.3772
CAwr_S10511,-118.48739236,34.45786092
CAwr_S10512,-118.22762645,34.66748715
CAwr_S10513,-118.61674052,34.5496214
CAwr_S10514,-117.8218,34.2392
CAwr_S10515,-118.08138993,34.03379365
CAwr_S10516,-118.08138993,34.03379365
CAwr_S10517,-118.79212775,34.41548856
CAwr_S10518,-118.9290889,34.36719517
CAwr_S10519,-119.1903,34.4271
CAwr_S1052,-123.22444579,39.18501457
CAwr_S10520,-118.91150798,34.36889975
CAwr_S10521,-119.03374547,34.37120254
CAwr_S10522,-121.57097617,37.66205289
CAwr_S10523,-121.78401297,37.17348573
CAwr_S10524,-121.67800505,37.30808795
CAwr_S10525,-121.65743157,37.31186319
CAwr_S10526,-122.12743676,38.81866903
CAwr_S10527,-120.57890231,38.39288241
CAwr_S10528,-122.35766058,39.2330773
CAwr_S10529,-120.90246828,41.94640669
CAwr_S1053,-123.22422361,39.21195436
CAwr_S10530,-118.93468351,37.62381149
CAwr_S10531,-120.11011899,41.9772142
CAwr_S10532,-121.1618021,40.49763318
CAwr_S10533,-120.92331371,41.95291122
CAwr_S10534,-121.32511554,40.34991557
CAwr_S10535,-120.60119739,41.99067795
CAwr_S10536,-118.47443965,34.65190823
CAwr_S10537,-116.83237546,34.20007075
CAwr_S10538,-117.7324,34.0481
CAwr_S10539,-118.456,34.0264
CAwr_S1054,-123.2103,39.2047
CAwr_S10540,-118.5404,34.3973
CAwr_S10541,-118.44335762,34.41466007
CAwr_S10543,-117.92520152,34.69734649
CAwr_S10544,-120.50136702,39.06171447
CAwr_S10545,-116.73959262,32.96912186
CAwr_S10546,-122.95948897,41.52936412
CAwr_S10547,-120.31207235,38.77185907
CAwr_S10548,-123.56875183,41.28365882
CAwr_S10549,-121.89370908,37.77458588
CAwr_S1055,-121.3649574,39.65306498
CAwr_S10550,-121.89077183,37.76555666
CAwr_S10551,-121.26518158,36.82897837
CAwr_S10552,-121.22978529,36.62110837
CAwr_S10553,-122.70886987,38.18819389
CAwr_S10554,-120.63343035,35.18770179
CAwr_S10555,-121.06460652,36.66474182
CAwr_S10556,-122.53343522,38.85266513
CAwr_S10557,-121.64926537,36.54711814
CAwr_S10558,-121.61975678,36.54062668
CAwr_S10559,-121.65539566,36.51730356
CAwr_S1056,-117.60083589,34.07707945
CAwr_S10560,-121.6142288,36.5382751
CAwr_S10561,-121.46870059,37.39596966
CAwr_S10562,-122.05916034,38.59273723
CAwr_S10563,-122.16156531,39.93645053
CAwr_S10564,-120.57777666,41.84988712
CAwr_S10565,-120.9199667,41.26536678
CAwr_S10566,-120.90131364,41.33697119
CAwr_S10567,-120.78604586,41.08945736
CAwr_S10568,-120.24159015,35.21913304
CAwr_S10569,-121.53085421,39.6277683
CAwr_S1057,-117.6193822,34.03563908
CAwr_S10570,-121.6784261,38.45226072
CAwr_S10571,-120.21049982,41.06455845
CAwr_S10572,-117.76383811,34.23498755
CAwr_S10573,-122.63356034,39.21213983
CAwr_S10574,-119.88064273,37.85917423
CAwr_S10575,-120.96962895,40.8449965
CAwr_S10576,-120.95382529,40.87299276
CAwr_S10577,-121.05367115,40.81991118
CAwr_S10578,-121.32926397,41.04666246
CAwr_S10579,-123.5425768,41.28483297
CAwr_S1058,-117.63219411,34.08901269
CAwr_S10580,-121.38916818,38.23343062
CAwr_S10581,-120.72999545,35.34389894
CAwr_S10582,-120.76585691,37.1376501
