SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
CAos_S127,,CAos_WS5,Unspecified,Unspecified,SAN BERNARDINO,4326,,,,,34.1178,-117.0978,,,Gage,SEVEN OAKS DAM,SVO,,Reservoir Gage,CA,
CAos_S128,,CAos_WS5,Unspecified,Unspecified,SAN DIEGO,4326,,,,,32.912,-116.92399999999999,,,Gage,SAN VICENTE,SVT,,Reservoir Gage,CA,
CAos_S129,,CAos_WS5,Unspecified,Unspecified,SAN DIEGO,4326,,,,,32.692,-117.007,,,Gage,SWEETWATER RESERVOIR,SW3,,Reservoir Gage,CA,
CAos_S130,,CAos_WS5,Unspecified,Unspecified,TUOLUMNE,4326,,,,,38.2,-119.98299999999999,,,Gage,STRAWBERRY,SWB,,Reservoir Gage,CA,
CAos_S131,,CAos_WS5,Unspecified,Unspecified,BUTTE,4326,,,,,39.45,-121.633,,,Gage,THERMALITO AFTERBAY,TAB,,Reservoir Gage,CA,
CAos_S132,,CAos_WS5,Unspecified,Unspecified,FRESNO,4326,,,,,37.37,-118.98700000000001,,,Gage,THOMAS A EDISON,TAE,,Reservoir Gage,CA,
CAos_S133,,CAos_WS5,Unspecified,Unspecified,BUTTE,4326,,,,,39.519,-121.62899999999999,,,Gage,THERMALITO FOREBAY,TFR,,Reservoir Gage,CA,
CAos_S134,,CAos_WS5,Unspecified,Unspecified,BUTTE,4326,,,,,39.528,-121.54299999999999,,,Gage,THERMALITO DIVERS POOL,THD,,Reservoir Gage,CA,
CAos_S135,,CAos_WS5,Unspecified,Unspecified,STANISLAUS,4326,,,,,37.6,-120.583,,,Gage,TURLOCK LAKE,TLC,,Reservoir Gage,CA,
CAos_S136,,CAos_WS4,Unspecified,Unspecified,Unspecified,4326,,,180400000000.0,18040009.0,37.66600528,-120.44059440000001,,,Gage,TUOLUMNE R-LA GRANGE DAM,TLG,,Stream Gage,CA,
CAos_S137,,CAos_WS5,Unspecified,Unspecified,BUTTE,4326,,,,,39.458,-121.63799999999999,,,Gage,THERMALITO TOTAL,TMT,,Reservoir Gage,CA,
CAos_S138,,CAos_WS5,Unspecified,Unspecified,INYO,4326,,,,,37.058,-118.225,,,Gage,TINEMAHA RESERVOIR,TNM,,Reservoir Gage,CA,
CAos_S139,,CAos_WS5,Unspecified,Unspecified,EL DORADO,4326,,,,,38.864000000000004,-120.43799999999999,,,Gage,UNION VALLEY,UNV,,Reservoir Gage,CA,
CAos_S140,,CAos_WS5,Unspecified,Unspecified,ALAMEDA,4326,,,,,37.7644,-122.1016,,,Gage,U SAN LEANDRO,USL,,Reservoir Gage,CA,
CAos_S141,,CAos_WS5,Unspecified,Unspecified,RIVERSIDE,4326,,,,,33.496,-116.976,,,Gage,VAIL LAKE,VIL,,Reservoir Gage,CA,
