SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NDssdw_S14308815B,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Mercer,4326,,,,,47.20895,-101.82267,,,POD,Wade Blank,14308815B,,WaDE Blank,ND,
NDssdw_S14308816A,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Mercer,4326,,,,,47.20896,-101.83327,,,POD,Wade Blank,14308816A,,WaDE Blank,ND,
NDssdw_S14308816B,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Mercer,4326,,,,,47.20898,-101.84382,,,POD,Wade Blank,14308816B,,WaDE Blank,ND,
NDssdw_S14308818BB,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Mercer,4326,,,,,47.21077,-101.88861,,,POD,Wade Blank,14308818BB,,WaDE Blank,ND,
NDssdw_S14308914AB,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Mercer,4326,,,,,47.21059,-101.92032,,,POD,Wade Blank,14308914AB,,WaDE Blank,ND,
NDssdw_S14308914BB,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Mercer,4326,,,,,47.21057,-101.93088,,,POD,Wade Blank,14308914BB,,WaDE Blank,ND,
NDssdw_S14309331BA,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.16753,-102.51715,,,POD,Wade Blank,14309331BA,,WaDE Blank,ND,
NDssdw_S14309331CA,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.16029,-102.51717,,,POD,Wade Blank,14309331CA,,WaDE Blank,ND,
NDssdw_S14309331DA,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.1603,-102.50654,,,POD,Wade Blank,14309331DA,,WaDE Blank,ND,
NDssdw_S14309331DB,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.1603,-102.51185,,,POD,Wade Blank,14309331DB,,WaDE Blank,ND,
NDssdw_S14309332CC,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.15673,-102.50124,,,POD,Wade Blank,14309332CC,,WaDE Blank,ND,
NDssdw_S14309423AB,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.19656,-102.55415,,,POD,Wade Blank,14309423AB,,WaDE Blank,ND,
NDssdw_S14309423BDB,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.19385,-102.56078,,,POD,Wade Blank,14309423BDB,,WaDE Blank,ND,
NDssdw_S14309424CA,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.18932,-102.5382,,,POD,Wade Blank,14309424CA,,WaDE Blank,ND,
NDssdw_S14309425BA1,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.18207,-102.53826,,,POD,Wade Blank,14309425BA1,,WaDE Blank,ND,
NDssdw_S14309425BA2,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.18207,-102.53826,,,POD,Wade Blank,14309425BA2,,WaDE Blank,ND,
NDssdw_S14309506AC,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.23603,-102.76547,,,POD,Wade Blank,14309506AC,,WaDE Blank,ND,
