,The name of the water supplier that the Division of Water Resources uses.,The name of the water supplier that the Division of Water Rights uses.,The name of the water supplier that the Division of Drinking Water uses.,The type of water supplier as defined by the EPA and the Division of Drinking Water.,A unique integer ID that the Division of Water Resources uses to join the suppliers to water use databases and to perform other queries,A unique integer ID that the Division of Water Rights uses to track water suppliers.,A unique string ID that the Division of Drinking Water uses to distinquish water suppliers in their databases,,,,,,,,,,,,,,,,,,
OBJECTID,WRENAME,WRNAME,DWNAME,SYSTEMTYPE,WATERRESID,WRID,DWSYSNUM,WRLINK,WHOLESALER,LABEL,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,LANUM,LANAME,ENDYEAR,DATASOURCE,SOURCEDATE,EDITOR,EDITDATE,COLOR4,SHAPE_Length,SHAPE_Area
560,Little Reservoir Campground, ,Little Reservoir Campground,NC,23,0,UTAH01027,https://waterlink.utah.gov/deqWater/reports.html?systemId=428, , ,Utah,Beaver,Cedar/Beaver,6/1/2001,Beaver,06-01-01a,Beaver,2010,DWRe,11/14/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.006810366,2.33E-06
561,Ponderosa Picnic Ground, ,Ponderosa Picnic Ground,NC,9,0,UTAH01011,https://waterlink.utah.gov/deqWater/reports.html?systemId=1199, , ,Utah,Beaver,Cedar/Beaver,6/1/2001,Beaver,06-01-01a,Beaver,2010,DWRe,11/14/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.00521238,9.96E-07
563,Little Cottonwood Campground, ,Little Cottonwood Campground,NC,14,0,UTAH01017,https://waterlink.utah.gov/deqWater/reports.html?systemId=421, , ,Utah,Beaver,Cedar/Beaver,6/1/2001,Beaver,06-01-01a,Beaver,2010,DWRe,11/14/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.013814528,7.11E-06
564,Beaver KOA Campground, ,KOA Campground Beaver,NP,21,0,UTAH01025,https://waterlink.utah.gov/deqWater/reports.html?systemId=122, , ,Utah,Beaver,Cedar/Beaver,6/1/2001,Beaver,06-01-01a,Beaver,2010,DWRe,11/14/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.007960029,3.90E-06
565,Beaver Camperland, ,Beaver Camperland,NC,25,0,UTAH01029,https://waterlink.utah.gov/deqWater/reports.html?systemId=107, , ,Utah,Beaver,Cedar/Beaver,6/1/2001,Beaver,06-01-01a,Beaver,2010,DWRe,11/14/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.010776949,4.91E-06
567,Greenville Ward, ,Greenville Ward,NC,12,0,UTAH01015,https://waterlink.utah.gov/deqWater/reports.html?systemId=741, , ,Utah,Beaver,Cedar/Beaver,6/1/2001,Beaver,06-01-01a,Beaver,2010,DWRe,11/14/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.026903049,3.47E-05
568,Skoots Creek Subdivision, ,Skoots Creek Subdivision,NC,433,0,UTAH09053,https://waterlink.utah.gov/deqWater/reports.html?systemId=1344, , ,Utah,Garfield,Sevier River,5/6/2002,Panguitch,05-06-02a,Panguitch,2009,DWRe,11/14/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.030120592,4.05E-05
569,Forest Garden Subdivision, ,Forest Garden Subdivision,NC,412,0,UTAH09030,https://waterlink.utah.gov/deqWater/reports.html?systemId=665, , ,Utah,Garfield,Sevier River,5/6/2002,Panguitch,05-06-02a,Panguitch,2010,DWRe,11/14/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.040751825,6.11E-05
570,Beaver Dam Lodge, ,Beaver Dam Lodge,NC,406,0,UTAH09024,https://waterlink.utah.gov/deqWater/reports.html?systemId=116, , ,Utah,Garfield,Sevier River,5/6/2002,Panguitch,05-06-02a,Panguitch,2009,DWRe,11/14/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.007627915,1.26E-06
571,Beaver Dam Village, ,Beaver Dam Village SSD,NC,2413,0,UTAH09093,https://waterlink.utah.gov/deqWater/reports.html?systemId=120, , ,Utah,Garfield,Sevier River,5/6/2002,Panguitch,05-06-02a,Panguitch,2010,DWRe,11/14/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.05032088,7.88E-05
572,Panguitch Lake Campground, ,Panguitch Lake Campground,NC,424,0,UTAH09043,https://waterlink.utah.gov/deqWater/reports.html?systemId=1120, , ,Utah,Garfield,Sevier River,5/6/2002,Panguitch,05-06-02a,Panguitch,2010,DWRe,11/15/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.016570432,1.57E-05
573,Panguitch Lake Chapel, ,Panguitch Lake Chapel,NC,2411,0,UTAH09092,https://waterlink.utah.gov/deqWater/reports.html?systemId=1121, , ,Utah,Garfield,Sevier River,5/6/2002,Panguitch,05-06-02a,Panguitch,2010,DWRe,11/15/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.004120492,1.05E-06
574,Panguitch Lake General Store, ,Panguitch Lake General Store,NC,431,0,UTAH09051,https://waterlink.utah.gov/deqWater/reports.html?systemId=1122, , ,Utah,Garfield,Sevier River,5/6/2002,Panguitch,05-06-02a,Panguitch,2010,DWRe,11/15/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.007743538,2.34E-06
575,Lake Front Estates, ,Lake Front Estates,NC,453,0,UTAH09074,https://waterlink.utah.gov/deqWater/reports.html?systemId=1785, , ,Utah,Garfield,Sevier River,5/6/2002,Panguitch,05-06-02a,Panguitch,2010,DWRe,11/15/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.020982042,1.42E-05
576,Panguitch Lake Resort, ,Panguitch Lake Resort,NC,419,0,UTAH09038,https://waterlink.utah.gov/deqWater/reports.html?systemId=1123, , ,Utah,Garfield,Sevier River,5/6/2002,Panguitch,05-06-02a,Panguitch,2010,DWRe,11/15/2016 0:00,ADAMCLARK,12/20/2017 0:00,,0.017101446,1.07E-05
577,White Bridge Campground, ,White Bridge Campground,NC,403,0,UTAH09019,https://waterlink.utah.gov/deqWater/reports.html?systemId=1667, , ,Utah,Garfield,Sevier River,5/6/2002,Panguitch,05-06-02a,Panguitch,2010,DWRe,11/16/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.012045471,5.13E-06
578,Yellow Pine Water Co., ,Yellow Pine Water Company,NC,396,0,UTAH09009,https://waterlink.utah.gov/deqWater/reports.html?systemId=1708, , ,Utah,Garfield,Sevier River,5/6/2001,Navajo Lake,05-06-01a,Navajo Lake,2010,DWRe,11/16/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.085018589,0.00026286
580,Kings Creek Campground, ,Kings Creek Campground,NC,432,0,UTAH09052,https://waterlink.utah.gov/deqWater/reports.html?systemId=876, , ,Utah,Garfield,Sevier River,5/5/2001,East Fork Sevier,05-05-01a,East Fork Sevier,2010,DWRe,11/16/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.013449363,6.68E-06
581,Paradise RV Park, ,Paradise RV Park,NC,448,0,UTAH09069,https://waterlink.utah.gov/deqWater/reports.html?systemId=1126, , ,Utah,Garfield,Sevier River,5/6/2002,Panguitch,05-06-02a,Panguitch,2009,DWRe,11/16/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.007158242,3.10E-06
582,Bear Paw Lakeview Resort, ,Bear Paw Lakeview Resort,NC,415,0,UTAH09034,https://waterlink.utah.gov/deqWater/reports.html?systemId=99, , ,Utah,Garfield,Sevier River,5/6/2002,Panguitch,05-06-02a,Panguitch,2010,DWRe,11/16/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.007034362,2.39E-06
583,Silverado Boys Ranch LLC, , ,NC,2410,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Garfield,Sevier River,5/6/2002,Panguitch,05-06-02a,Panguitch,2010,DWRe,11/16/2016 0:00,ADAMCLARK,11/16/2016 0:00,,0.012824554,8.71E-06
584,Red Canyon RV Park, ,Red Canyon RV Park,NC,434,0,UTAH09054,https://waterlink.utah.gov/deqWater/reports.html?systemId=1225, , ,Utah,Garfield,Sevier River,5/6/2002,Panguitch,05-06-02a,Panguitch,2009,DWRe,11/16/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.006501685,1.70E-06
585,Pines Rest Stop, ,Pines Highway Rest Stop,NC,2412,0,UTAH09010,https://waterlink.utah.gov/deqWater/reports.html?systemId=1174, , ,Utah,Garfield,Sevier River,5/6/2002,Panguitch,05-06-02a,Panguitch,2010,DWRe,11/16/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.007702349,2.09E-06
586,Bryce Junction Inn, , ,NC,2285,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Garfield,Sevier River,5/6/2002,Panguitch,05-06-02a,Panguitch,2009,DWRe,11/16/2016 0:00,ADAMCLARK,5/3/2017 0:00,,0.003663974,7.83E-07
587,Red Canyon Rest Stop, , ,NC,2293,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Garfield,Sevier River,5/6/2002,Panguitch,05-06-02a,Panguitch,2009,DWRe,11/16/2016 0:00,ADAMCLARK,11/16/2016 0:00,,0.005138574,1.15E-06
588,Red Canyon Campground, ,Red Canyon Campground,NC,425,0,UTAH09044,https://waterlink.utah.gov/deqWater/reports.html?systemId=1223, , ,Utah,Garfield,Sevier River,5/6/2002,Panguitch,05-06-02a,Panguitch,2010,DWRe,11/16/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.019487752,9.60E-06
589,Bryce Canyon Pines, ,Bryce Canyon Pines,NC,409,0,UTAH09027,https://waterlink.utah.gov/deqWater/reports.html?systemId=196, , ,Utah,Garfield,Sevier River,5/5/2001,East Fork Sevier,05-05-01a,East Fork Sevier,2010,DWRe,11/16/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.012628097,8.17E-06
590,Pink Cliffs - Bryce Village, , ,NC,2286,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Garfield,Sevier River,5/5/2001,East Fork Sevier,05-05-01a,East Fork Sevier,2009,DWRe,11/16/2016 0:00,ADAMCLARK,11/16/2016 0:00,,0.010203821,4.31E-06
593,Tropic Spring Roadside Stop, ,Tropic Spring Roadside Stop,NC,427,0,UTAH09047,https://waterlink.utah.gov/deqWater/reports.html?systemId=1550, , ,Utah,Garfield,Southeast Colorado River,9/5/2000,Paria River,09-05-00a,Paria,2004,DWRe,11/16/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.003366254,5.28E-07
594,Offshore Marina, ,Offshore Marina,NC,463,0,UTAH09086,https://waterlink.utah.gov/deqWater/reports.html?systemId=1081, , ,Utah,Garfield,West Colorado River,9/3/2002,Lake Powell,09-03-02a,Lake Powell WColo,2010,DWRe,11/16/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.016979571,1.84E-05
596,Pine Lake Campground, ,Pine Lake Campground,NC,402,0,UTAH09017,https://waterlink.utah.gov/deqWater/reports.html?systemId=1161, , ,Utah,Garfield,Sevier River,5/5/2001,East Fork Sevier,05-05-01a,East Fork Sevier,2010,DWRe,11/16/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.018671036,1.53E-05
598,Kiva Koffeehouse & Kiva, ,Kiva Koffeehouse and Kiva Kottage,NC,2455,0,UTAH09097,https://waterlink.utah.gov/deqWater/reports.html?systemId=1771, , ,Utah,Garfield,West Colorado River,8/4/2002,Escalante River,08-04-02a,Escalante River,2010,DWRe,11/16/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.003852736,7.53E-07
599,Calf Creek Campground, ,Calf Creek Campground,NC,410,0,UTAH09028,https://waterlink.utah.gov/deqWater/reports.html?systemId=215, , ,Utah,Garfield,West Colorado River,8/4/2002,Escalante River,08-04-02a,Escalante River,2010,DWRe,11/16/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.0087027,3.41E-06
600,Boulder School, ,Boulder School,NC,450,0,UTAH09071,https://waterlink.utah.gov/deqWater/reports.html?systemId=163, , ,Utah,Garfield,West Colorado River,8/4/2001,Boulder,08-04-01a,Boulder,2010,DWRe,11/16/2016 0:00,ADAMCLARK,6/1/2017 0:00,,0.003174214,6.25E-07
602,Boulder King Ranch Estates, ,Boulder King Ranch Estate,NP,2453,0,UTAH09070,https://waterlink.utah.gov/deqWater/reports.html?systemId=158, , ,Utah,Garfield,West Colorado River,8/4/2001,Boulder,08-04-01a,Boulder,2010,DWRe,11/16/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.023230396,3.11E-05
603,Blue Spruce Campground, ,Blue Spruce Campground,NC,401,0,UTAH09016,https://waterlink.utah.gov/deqWater/reports.html?systemId=147, , ,Utah,Garfield,West Colorado River,8/4/2002,Escalante River,08-04-02a,Escalante River,2010,DWRe,11/16/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.009026612,4.09E-06
604,Posy Lake Campground, ,Posy Lake Campground,NC,400,0,UTAH09015,https://waterlink.utah.gov/deqWater/reports.html?systemId=1205, , ,Utah,Garfield,West Colorado River,8/4/2002,Escalante River,08-04-02a,Escalante River,2010,DWRe,11/16/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.017448259,9.34E-06
605,Barker Recreation Area, ,Barker Recreation Site,NC,2452,0,UTAH09078,https://waterlink.utah.gov/deqWater/reports.html?systemId=86, , ,Utah,Garfield,West Colorado River,8/4/2002,Escalante River,08-04-02a,Escalante River,2010,DWRe,11/16/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.007099687,3.23E-06
606,Pleasant Creek Campground, ,Pleasant Creek Campground,NC,399,0,UTAH09014,https://waterlink.utah.gov/deqWater/reports.html?systemId=1192, , ,Utah,Garfield,West Colorado River,8/3/2007,Torrey,08-03-07a,Torrey,2010,DWRe,11/16/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.003361203,7.73E-07
607,Otter Creek Lake State Park, ,Otter Creek Lake Beach,NC,749,0,UTAH16008,https://waterlink.utah.gov/deqWater/reports.html?systemId=1102, , ,Utah,Piute,Sevier River,5/5/2002,Otter Creek,05-05-02a,Otter Creek,2010,DWRe,11/17/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.013376149,5.79E-06
608,Otter Creek RV Park, ,Otter Creek RV Park,NC,753,0,UTAH16012,https://waterlink.utah.gov/deqWater/reports.html?systemId=1103, , ,Utah,Piute,Sevier River,5/5/2002,Otter Creek,05-05-02a,Otter Creek,2010,DWRe,11/17/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.005937863,2.11E-06
609,City Creek Campground, ,City Creek Campground,NC,748,0,UTAH16006,https://waterlink.utah.gov/deqWater/reports.html?systemId=337, , ,Utah,Piute,Sevier River,5/6/2003,Piute,05-06-03a,Piute,2009,DWRe,11/17/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.004257067,1.11E-06
610,Hoover's Cafe, ,Hoovers Cafe,NC,751,0,UTAH16010,https://waterlink.utah.gov/deqWater/reports.html?systemId=818, , ,Utah,Piute,Sevier River,5/4/2001,Marysvale,05-04-01a,Marysvale,2010,DWRe,11/17/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.010695487,5.17E-06
611,Hoover State Hwy Rest Stop, ,Hoover State Highway Rest Stop,NC,747,0,UTAH16005,https://waterlink.utah.gov/deqWater/reports.html?systemId=817, , ,Utah,Piute,Sevier River,5/4/2001,Marysvale,05-04-01a,Marysvale,2010,DWRe,11/17/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.004676305,1.34E-06
612,Elkhorn Campground & Guard Station, ,Elkhorn Campground - Guard Station,NC,1612,0,UTAH28009,https://waterlink.utah.gov/deqWater/reports.html?systemId=613, , ,Utah,Wayne,West Colorado River,8/3/2007,Torrey,08-03-07a,Torrey,2010,DWRe,11/17/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.006805204,2.43E-06
613,Thousand Lakes RV Park, ,Thousand Lakes RV Park,NC,1626,0,UTAH28029,https://waterlink.utah.gov/deqWater/reports.html?systemId=1513, , ,Utah,Wayne,West Colorado River,8/3/2007,Torrey,08-03-07a,Torrey,2010,DWRe,11/17/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.012271933,8.82E-06
614,Boulder Mountain Homestead RV Park, ,Boulder MT Homestead RV Park,NC,1628,0,UTAH28031,https://waterlink.utah.gov/deqWater/reports.html?systemId=161, , ,Utah,Wayne,West Colorado River,8/3/2007,Torrey,08-03-07a,Torrey,2009,DWRe,11/21/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.009803616,5.27E-06
615,Single Tree Campground, ,Single Tree Campground,NC,1611,0,UTAH28008,https://waterlink.utah.gov/deqWater/reports.html?systemId=1342, , ,Utah,Wayne,West Colorado River,8/3/2007,Torrey,08-03-07a,Torrey,2010,DWRe,11/21/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.014686797,6.29E-06
616,Capitol Reef Field Station, ,Capitol Reef Field Station,NC,2458,0,UTAH28042,https://waterlink.utah.gov/deqWater/reports.html?systemId=1792, , ,Utah,Wayne,West Colorado River,8/3/2007,Torrey,08-03-07a,Torrey,2010,DWRe,11/21/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.004798682,1.43E-06
617,Sleepy Hollow Campground, ,Sleepy Hollow Campground,NTNC,1629,0,UTAH28032,https://waterlink.utah.gov/deqWater/reports.html?systemId=1354, , ,Utah,Wayne,West Colorado River,8/3/2007,Torrey,08-03-07a,Torrey,2010,DWRe,11/21/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.005215979,1.86E-06
618,Red Rock Cafe, ,Red Rock Cafe,NP,1622,0,UTAH28025,https://waterlink.utah.gov/deqWater/reports.html?systemId=1239, , ,Utah,Wayne,West Colorado River,8/3/2007,Torrey,08-03-07a,Torrey,2010,DWRe,11/21/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.006086194,2.15E-06
619,Hollow Mountain, ,Hollow Mountain,NC,1623,0,UTAH28026,https://waterlink.utah.gov/deqWater/reports.html?systemId=807, , ,Utah,Wayne,West Colorado River,8/3/2007,Torrey,08-03-07a,Torrey,2010,DWRe,11/21/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.004988923,1.46E-06
620,Monument Valley Hospital/Trading Post, ,Monument Valley Hospital,NP,922,0,UTAH19012,https://waterlink.utah.gov/deqWater/reports.html?systemId=993, , ,Utah,San Juan,Southeast Colorado River,9/3/2001,San Juan River,09-03-01a,San Juan River,2010,DWRe,11/21/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.005470205,1.81E-06
623,Montezuma Trailer Park, ,Montezuma Trailer Park,NP,920,0,UTAH19010,https://waterlink.utah.gov/deqWater/reports.html?systemId=990, , ,Utah,San Juan,Southeast Colorado River,9/3/2001,San Juan River,09-03-01a,San Juan River,2010,DWRe,11/22/2016 0:00,ADAMCLARK,6/1/2017 0:00,,0.006617272,2.71E-06
624,Sand Island, ,Sand Island Recreation Site,NC,965,0,UTAH19071,https://waterlink.utah.gov/deqWater/reports.html?systemId=1298, , ,Utah,San Juan,Southeast Colorado River,9/3/2001,San Juan River,09-03-01a,San Juan River,2010,DWRe,11/22/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.011055094,4.53E-06
625,Hovenweep National Monument, ,Hovenweep NM,NC,924,0,UTAH19014,https://waterlink.utah.gov/deqWater/reports.html?systemId=822, , ,Utah,San Juan,Southeast Colorado River,9/3/2005,McElmo,09-03-05a,McElmo,2010,DWRe,11/22/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.016722844,7.62E-06
628,Devils Canyon Campground, ,Devils Canyon Campground,NC,928,0,UTAH19018,https://waterlink.utah.gov/deqWater/reports.html?systemId=541, , ,Utah,San Juan,Southeast Colorado River,9/3/2004,Monticello,09-03-04a,Monticello,2010,DWRe,11/25/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.00728696,2.60E-06
629,Nizhoni Campground, ,Nizhoni Campground,NC,961,0,UTAH19067,https://waterlink.utah.gov/deqWater/reports.html?systemId=1053, , ,Utah,San Juan,Southeast Colorado River,9/3/2003,Blanding,09-03-03a,Blanding,2010,DWRe,11/25/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.008961141,4.65E-06
630,Blue Mountain Ranch Recreation, ,Blue Mountain Ranch Recreation,NC,2390,0,UTAH19079,https://waterlink.utah.gov/deqWater/reports.html?systemId=1821, , , ,San Juan,Southeast Colorado River,9/3/2004,Monticello,09-03-04a,Monticello,2010,DWRe,11/25/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.020704069,2.44E-05
633,Dalton Springs Campground, ,Dalton Springs Campground,NC,927,0,UTAH19017,https://waterlink.utah.gov/deqWater/reports.html?systemId=509, , ,Utah,San Juan, ,9/3/2004,Monticello,09-03-04a,Monticello,2010,DWRe,11/28/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.01061537,4.41E-06
634,Buckboard Campground, ,Buckboard Campground,NC,926,0,UTAH19016,https://waterlink.utah.gov/deqWater/reports.html?systemId=202, , ,Utah,San Juan,Southeast Colorado River,9/3/2004,Monticello,09-03-04a,Monticello,2010,DWRe,11/29/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.007291343,3.90E-06
635,Wind Whistle Campground, ,Wind Whistle Campground,NC,940,0,UTAH19037,https://waterlink.utah.gov/deqWater/reports.html?systemId=1690, , ,Utah,San Juan,Southeast Colorado River,9/1/2005,Cane Spring,09-01-05a,Cane Spring,2010,DWRe,11/29/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.006520618,2.73E-06
639,UNOCAL, , ,NTNC,2343,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,San Juan,Southeast Colorado River,9/2/2002,Lisbon Valley,09-02-02a,Lisbon Valley,2009,DWRe,11/29/2016 0:00,ADAMCLARK,11/29/2016 0:00,,0.011602792,7.91E-06
640,La Sal Branch Meeting House, ,La Sal Branch Meeting House,NC,2389,0,UTAH19078,https://waterlink.utah.gov/deqWater/reports.html?systemId=1820, , ,Utah,San Juan,Southeast Colorado River,9/1/2005,Cane Spring,09-01-05a,Cane Spring,2010,DWRe,11/29/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.003955447,9.32E-07
641,Summo USA Corp., , ,NTNC,2340,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,San Juan,Southeast Colorado River,9/1/2005,Cane Spring,09-01-05a,Cane Spring,2010,DWRe,11/29/2016 0:00,ADAMCLARK,11/29/2016 0:00,,0.076093605,0.000346503
642,Kane Springs Hwy Rest Stop, ,Kane Springs Highway Rest Stop,NC,921,0,UTAH19011,https://waterlink.utah.gov/deqWater/reports.html?systemId=364, , ,Utah,San Juan,Southeast Colorado River,9/1/2005,Cane Spring,09-01-05a,Cane Spring,2010,DWRe,11/29/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.008673283,4.09E-06
644,Hatch Point Campground, ,Hatch Point Campground Decommisioned,NC,939,0,UTAH19036,https://waterlink.utah.gov/deqWater/reports.html?systemId=760, , ,Utah,San Juan,Southeast Colorado River,9/1/2005,Cane Spring,09-01-05a,Cane Spring,2010,DWRe,11/29/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.003719072,8.54E-07
645,Canyonlands NP-Island in the Sky, ,Canyonlands NP - Island in the Sky,NC,943,0,UTAH19040,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,San Juan,West Colorado River,9/1/2002,Lower Green River,09-01-02a,Lower Green River,2010,DWRe,11/29/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.017535297,1.50E-05
646,Canyonlands NP-Needles, ,Canyonlands NP - Needles District HQ,NC,944,0,UTAH19042,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,San Juan,Southeast Colorado River,9/1/2006,Indian Creek,09-01-06a,Cottonwood Creek,2010,DWRe,11/29/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.058855815,6.58E-05
647,Natural Bridges, ,Natural Bridges NM,NC,945,0,UTAH19044,https://waterlink.utah.gov/deqWater/reports.html?systemId=1038, , ,Utah,San Juan,West Colorado River,9/3/2002,Lake Powell,09-03-02a,Lake Powell WColo,2010,DWRe,11/29/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.02756433,2.57E-05
649,Warner Campground & G. S., ,Warner Campground & G. S.,NC,480,0,UTAH10011,https://waterlink.utah.gov/deqWater/reports.html?systemId=1617, , ,Utah,Grand,Southeast Colorado River,9/1/2004,Moab,09-01-04a,Moab,2010,DWRe,11/29/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.010685926,6.92E-06
651,Dead Horse Point State Park, ,Dead Horse Point,NC,482,0,UTAH10013,https://waterlink.utah.gov/deqWater/reports.html?systemId=517, , ,Utah,Grand,Southeast Colorado River,9/1/2002,Colorado River/Dead Horse,09-01-02a,Dead Horse,2010,DWRe,11/29/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.040734877,4.28E-05
652,Sorrel River Ranch, ,Sorrel River Ranch Water,C,498,0,UTAH10033,https://waterlink.utah.gov/deqWater/reports.html?systemId=1372, , ,Utah,Grand,Southeast Colorado River,9/1/2003,Colorado River/Castle Valley,09-01-03a,Castle Valley,2018,DWRe,11/29/2016 0:00,ADAMCLARK,10/16/2019 0:00,,0.034955858,6.97E-05
654,Canyonlands Field (Airport), ,Canyonlands Field,NC,483,0,UTAH10014,https://waterlink.utah.gov/deqWater/reports.html?systemId=261, , ,Utah,Grand,Southeast Colorado River,9/1/2002,Colorado River/Dead Horse,09-01-02a,Dead Horse,2010,DWRe,11/29/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.025255908,3.85E-05
655,Archview Partners LLC (Campground), ,Archview Resort Campground,NC,499,0,UTAH10034,https://waterlink.utah.gov/deqWater/reports.html?systemId=44, , ,Utah,Grand,Southeast Colorado River,9/1/2002,Colorado River/Dead Horse,09-01-02a,Dead Horse,2010,DWRe,11/29/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.013990017,1.26E-05
657,Canyonlands By Night, , ,NC,2393,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Grand,Southeast Colorado River,9/1/2003,Colorado River/Castle Valley,09-01-03a,Castle Valley,2010,DWRe,11/29/2016 0:00,ADAMCLARK,11/29/2016 0:00,,0.006380187,1.93E-06
658,Grand County Lions Park, ,Grand County Lions Park,NP,493,0,UTAH10027,https://waterlink.utah.gov/deqWater/reports.html?systemId=722, , ,Utah,Grand,Southeast Colorado River,9/1/2003,Colorado River/Castle Valley,09-01-03a,Castle Valley,2004,DWRe,11/29/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.005953232,1.76E-06
659,Matrimony Spring, ,Matrimony Spring,NC,492,0,UTAH10026,https://waterlink.utah.gov/deqWater/reports.html?systemId=932, , ,Utah,Grand,Southeast Colorado River,9/1/2003,Colorado River/Castle Valley,09-01-03a,Castle Valley,2010,DWRe,12/14/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.00186649,1.85E-07
660,Slickrock Campground, ,Slickrock Campground,NC,484,0,UTAH10016,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Grand,Southeast Colorado River,9/1/2002,Colorado River/Dead Horse,09-01-02a,Dead Horse,2010,DWRe,12/14/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.010718686,4.03E-06
661,Bucks Grill House, ,Bucks Grill House,NC,485,0,UTAH10018,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Grand,Southeast Colorado River,9/1/2002,Colorado River/Dead Horse,09-01-02a,Dead Horse,2010,DWRe,12/14/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.002733879,4.07E-07
