SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
COss_S1489,,COss_WS187,,Unspecified,RIO GRANDE,4326,,,,,37.741714,-106.130412,,,POD,W0175 WELL NO 01,WaDECO_S2360,,WELL,CO,
COss_S1490,,COss_WS187,,Unspecified,RIO GRANDE,4326,,,,,37.734278,-106.13041299999999,,,POD,W0175 WELL NO 04,WaDECO_S2361,,WELL,CO,
COss_S1491,,COss_WS186,,Unspecified,RIO GRANDE,4326,,,,,37.679184,-106.153549,,,POD,W0176 WELL NO 03,WaDECO_S2362,,WELL,CO,
COss_S1492,,COss_WS185,,Unspecified,RIO GRANDE,4326,,1385432.0,,,37.686945,-106.30958700000001,,,POD,W0177 WELL NO 01,WaDECO_S2363,,WELL,CO,
COss_S1493,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.733187,-106.01976100000002,,,POD,W0183 WELL NO PUMP 02,WaDECO_S2364,,WELL,CO,
COss_S1494,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.734142999999996,-106.02910200000001,,,POD,W0183 WELL NO PUMP 05,WaDECO_S2365,,WELL,CO,
COss_S1495,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.730557,-106.019645,,,POD,W0183 WELL NO PUMP 06,WaDECO_S2366,,WELL,CO,
COss_S1496,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.735079,-106.01994599999999,,,POD,W0183 WELL NO PUMP 08,WaDECO_S2367,,WELL,CO,
COss_S1497,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.737625,-106.02455400000001,,,POD,W0183 WELL NO PUMP 09,WaDECO_S2368,,WELL,CO,
COss_S1498,,COss_WS186,,Unspecified,RIO GRANDE,4326,,,,,37.491383,-106.160427,,,POD,W0184 WELL NO 01,WaDECO_S2369,,WELL,CO,
COss_S1499,,COss_WS23,,Unspecified,BOULDER,4326,,,,,39.970508,-105.187074,,,POD,METHVIN AUG,WaDECO_S237,,AUGMENTATION/REPLACEMENT PLAN,CO,
COss_S1500,,COss_WS185,,Unspecified,CONEJOS,4326,,1385432.0,,,37.347125,-106.052575,,,POD,W0185 WELL NO 02,WaDECO_S2370,,WELL,CO,
COss_S1501,,COss_WS185,,Unspecified,RIO GRANDE,4326,,1385432.0,,,37.618336,-106.09406200000001,,,POD,W0187 WELL NO 03,WaDECO_S2371,,WELL,CO,
COss_S1502,,COss_WS185,,Unspecified,RIO GRANDE,4326,,1385432.0,,,37.617717,-106.11204599999999,,,POD,W0187 WELL NO 06,WaDECO_S2372,,WELL,CO,
COss_S1503,,COss_WS185,,Unspecified,RIO GRANDE,4326,,1385432.0,,,37.619499,-106.09395400000001,,,POD,W0187 WELL NO 07,WaDECO_S2373,,WELL,CO,
COss_S1504,,COss_WS187,,Unspecified,SAGUACHE,4326,,,,,37.749676,-106.06611699999999,,,POD,W0193 WELL NO 02,WaDECO_S2374,,WELL,CO,
COss_S1505,,COss_WS187,,Unspecified,SAGUACHE,4326,,,,,37.750107,-106.075272,,,POD,W0193 WELL NO 03,WaDECO_S2375,,WELL,CO,
COss_S1506,,COss_WS187,,Unspecified,SAGUACHE,4326,,,,,37.752666,-106.075321,,,POD,W0193 WELL NO 05,WaDECO_S2376,,WELL,CO,
COss_S1507,,COss_WS187,,Unspecified,RIO GRANDE,4326,,,,,37.677067,-106.14873100000001,,,POD,W0194 WELL NO 03,WaDECO_S2377,,WELL,CO,
COss_S1508,,COss_WS185,,Unspecified,RIO GRANDE,4326,,1385432.0,,,37.609120000000004,-106.111929,,,POD,W0195 WELL NO 01,WaDECO_S2378,,WELL,CO,
COss_S1509,,COss_WS185,,Unspecified,RIO GRANDE,4326,,1385432.0,,,37.610355,-106.0974,,,POD,W0195 WELL NO 04,WaDECO_S2379,,WELL,CO,
COss_S1510,,COss_WS23,,Unspecified,BOULDER,4326,,,,,40.027338,-105.17143200000001,,,POD,MURAKAMI NNT AUG,WaDECO_S238,,AUGMENTATION/REPLACEMENT PLAN,CO,
COss_S1511,,COss_WS187,,Unspecified,RIO GRANDE,4326,,,,,37.65202,-106.066193,,,POD,W0196 WELL NO 03,WaDECO_S2380,,WELL,CO,
COss_S1512,,COss_WS186,,Unspecified,ALAMOSA,4326,,,,,37.628855,-105.95156200000001,,,POD,W0196 WELL NO 06,WaDECO_S2381,,WELL,CO,
COss_S1513,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.642352,-105.983902,,,POD,W0198 WELL NO 02,WaDECO_S2382,,WELL,CO,
COss_S1514,,COss_WS187,,Unspecified,SAGUACHE,4326,,,,,37.772165,-106.103205,,,POD,W0204 WELL NO PUMP 04,WaDECO_S2383,,WELL,CO,
COss_S1515,,COss_WS185,,Unspecified,RIO GRANDE,4326,,1385432.0,,,37.551178,-106.064653,,,POD,W0205 WELL NO 03,WaDECO_S2384,,WELL,CO,
COss_S1516,,COss_WS186,,Unspecified,RIO GRANDE,4326,,,,,37.530814,-106.10323899999999,,,POD,W0212 WELL NO 01,WaDECO_S2385,,WELL,CO,
