WaDESiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDMetadataID
100848,100848,WEBSTER LAND SUMP 1,,,-104.629729,40.597579,,5107,GPS,0.01,0.01,
100849,100849,WIDMAIER SEEPAGE DITCH,,,-104.705808,40.597168,,5107,GPS,0.01,0.01,
100853,100853,RANGEVIEW EAST WTR SYS,,,-104.539316,39.564903,,5107,Spotted from section lines,0.01,0.01,
100859,100859,SCOTT DITCH,,,-104.542521,40.325954,,5107,Spotted from quarters,0.01,0.01,
100860,100860,SWANSON DITCH,,,-104.199705,39.80344,,5107,Spotted from quarters,0.01,0.01,
100862,100862,COMANCHE DITCH,,,-104.294652,39.913661,,5107,Spotted from quarters,0.01,0.01,
100866,100866,BARLOW PIT M-1974-092,,,-103.765457,40.264412,,5107,Digitized,0.01,0.01,
100869,100869,HUNTINGTON SLOUGH DIVERSION,,,-104.007515,40.362526,,5107,Spotted from section lines,0.01,0.01,
100870,100870,SCHULTZ SEEP DITCH,,,-103.611116,40.34121,,5107,Spotted from section lines,0.01,0.01,
100872,100872,NEW CACHE GALETON DRAW DIVERSION,,,-104.589112,40.504218,,5107,Digitized,0.01,0.01,
100873,100873,NEW CACHE OWL CREEK DIVERSION,,,-104.545945,40.468309,,5107,GPS,0.01,0.01,
100876,100876,CROLL ROWE PUMPING PLANT 1,,,-104.494303,40.478572,,5107,Spotted from section lines,0.01,0.01,
100877,100877,CROLL ROWE PUMPING PLANT 2,,,-104.502132,40.471655,,5107,Spotted from section lines,0.01,0.01,
100879,100879,FAITH TABERNACLE PUMP,,,-104.540502,40.399719,,5107,Per Decree,0.01,0.01,
100890,100890,TOMKEY SUMP PUMP,,,-103.926032,40.324808,,5107,GPS,0.01,0.01,
100897,100897,EMERALD DIVERSION 1,,,-104.616155,39.934924,,5107,Per Decree,0.01,0.01,
100901,100901,WIGGINS FARMS EAST PUMP STATION,,,-104.016572,40.353637,,5107,Spotted from section lines,0.01,0.01,
100902,100902,OWL CREEK DITCH,,,-104.624246,40.595127,,5107,Spotted from section lines,0.01,0.01,
100906,100906,DUKE DITCH,,,-104.586104,39.331133,,5107,Spotted from section lines,0.01,0.01,
100907,100907,SMITH DITCH,,,-104.58374,40.334544,,5107,Spotted from section lines,0.01,0.01,
100933,100933,SAMPSON DITCH 1,,,-104.58649,40.045967,,5107,Spotted from quarters,0.01,0.01,
100934,100934,SAMPSON DITCH 2,,,-104.572606,40.05316,,5107,Spotted from quarters,0.01,0.01,
100935,100935,WHITTEN DIVERSION,,,-104.514794,40.440119,,5107,GPS,0.01,0.01,
100936,100936,JACKSON DAY SEEP,,,-104.229428,40.309871,,5107,Spotted from quarters,0.01,0.01,
101322,101322,CARTER SPRING #1,,,-104.106697,39.221864,,5107,GPS,0.01,0.01,
101323,101323,CARTER SPRING #2,,,-104.111197,39.225107,,5107,GPS,0.01,0.01,
101324,101324,CARTER SPRING #3,,,-104.112074,39.22449,,5107,Spotted from quarters,0.01,0.01,
101325,101325,CARTER SPRING #4,,,-104.115169,39.226209,,5107,GPS,0.01,0.01,
101326,101326,CARTER SPRING #5,,,-104.116753,39.228276,,5107,GPS,0.01,0.01,
