OrganizationName,RegulatoryOverlayName,ReportingUnitName,DataPublicationDateID
CODWR,COLORADO RIVER COMPACT,Raft,10/1/2013
CODWR,ASPINALL UNIT OPERATIONS,Goose,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Beaver,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Box Elder,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Cache,10/1/2013
CODWR,COLORADO RIVER COMPACT,Carbon,10/1/2013
CODWR,ASPINALL UNIT OPERATIONS,Daggett,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Davis,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Duchesne,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Emery,10/1/2013
CODWR,COLORADO RIVER COMPACT,Garfield,10/1/2013
CODWR,ASPINALL UNIT OPERATIONS,Grand,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Iron,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Juab,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Kane,10/1/2013
CODWR,COLORADO RIVER COMPACT,Millard,10/1/2013
CODWR,ASPINALL UNIT OPERATIONS,Morgan,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Piute,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Rich,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Salt Lake,10/1/2013
CODWR,SOUTH PLATTE RIVER COMPACT,San Juan,10/1/2013
CODWR,REPUBLICAN RIVER COMPACT,SanPete,10/1/2013
CODWR,PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,Sevier,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Summit,10/1/2013
CODWR,KANSAS VS. COLORADO,Tooele,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Uintah,10/1/2013
CODWR,KANSAS VS. COLORADO,Utah,10/1/2013
CODWR,COLORADO RIVER COMPACT,Wasatch,10/1/2013
CODWR,ASPINALL UNIT OPERATIONS,Washington,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Wayne,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Weber,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Curlew Valley,10/1/2013
CODWR,COLORADO RIVER COMPACT,Clear Creek,10/1/2013
CODWR,LA PLATA RIVER COMPACT,Promontory Point,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Yost,10/1/2013
CODWR,ANIMAS-LA PLATA PROJECT COMPACT,Goose Creek,10/1/2013
CODWR,SAN-JUAN RIVER BASIN RIP,Lynn,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Hansel Valley,10/1/2013
CODWR,SOUTH PLATTE RIVER COMPACT,Park Valley,10/1/2013
CODWR,REPUBLICAN RIVER COMPACT,Grouse Creek,10/1/2013
CODWR,PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,Ogden Valley,10/1/2013
CODWR,COLORADO RIVER COMPACT,Diamond Fork,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Rush Valley,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Colorado River/Cisco,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Delta,10/1/2013
CODWR,COLORADO RIVER COMPACT,Lower Green River,10/1/2013
CODWR,LA PLATA RIVER COMPACT,Sevier Bridge,10/1/2013
