SiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,SitePoint,SiteNativeURL,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDNetworkStatusCV,NHDProductCV,NHDUpdateDate,NHDReachCode,NHDMeasureNumber,StateCV,HUC8,HUC12,County
AZ_335302112172101,335302112172101,Unspecified,,GWSI,-112.2871261234197,33.88396664481891,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335204112171501,335204112171501,Unspecified,,GWSI,-112.28929614231498,33.86778328517648,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335121112173201,335121112173201,Unspecified,,GWSI,-112.29344757910208,33.85710727104212,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335112112163501,335112112163501,Unspecified,,GWSI,-112.27661021892638,33.852936013913784,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335103112155301,335103112155301,Unspecified,,GWSI,-112.26576547152014,33.85109990829195,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335108112154101,335108112154101,Unspecified,,GWSI,-112.26138437912188,33.85115383866697,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335055112161701,335055112161701,Unspecified,,GWSI,-112.2723273073407,33.84919261830123,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335058112160801,335058112160801,Unspecified,,GWSI,-112.27013580310378,33.849224238013,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335100112160101,335100112160101,Unspecified,,GWSI,-112.26685651650128,33.85017785149476,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335238112111301,335238112111301,Unspecified,,GWSI,-112.1880432478458,33.87754886131751,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335203112084601,335203112084601,Unspecified,,GWSI,-112.14681976968947,33.86837090075068,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335033112111401,335033112111401,Unspecified,,INDEX,-112.18819641667817,33.841311512753556,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334929112092901,334929112092901,Unspecified,,GWSI,-112.15992961961844,33.824806384922205,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335317112004001,335317112004001,Unspecified,,GWSI,-112.01199289921824,33.88880647925593,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335233112011901,335233112011901,Unspecified,,GWSI,-112.02281336009798,33.87621742030222,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335120112001801,335120112001801,Unspecified,,GWSI,-112.00754907470154,33.85629486509487,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334937111580701,334937111580701,Unspecified,,GWSI,-111.97022949850712,33.825434812412965,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335521112161501,335521112161501,Unspecified,,GWSI,-112.27624318255431,33.92694339994297,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335423112170301,335423112170301,Unspecified,,GWSI,-112.284989522026,33.905452288745714,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335432112155701,335432112155701,Unspecified,,GWSI,-112.2675746086864,33.90898752636677,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335540112112601,335540112112601,Unspecified,,GWSI,-112.19222781711107,33.9282184516039,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335405112045101,335405112045101,Unspecified,,GWSI,-112.0814685356156,33.901554508818414,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
