MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,WaterSourceUUID,Amount,AllocationCropDutyAmount,AssociatedNativeAllocationIDs,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,Geometry,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifier,TimeframeEnd,TimeframeStart
UDWR_Water Use Data,UDWR,UTSS_S15,UDWR_Site Specific Withdrawal,UTSS_WS15,57.75437,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1981,,1981-12-31,1981-01-01
UDWR_Water Use Data,UDWR,UTSS_S19,UDWR_Site Specific Withdrawal,UTSS_WS19,72.10858,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1981,,1981-12-31,1981-01-01
UDWR_Water Use Data,UDWR,UTSS_S15,UDWR_Site Specific Withdrawal,UTSS_WS15,57.871,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1982,,1982-12-31,1982-01-01
UDWR_Water Use Data,UDWR,UTSS_S19,UDWR_Site Specific Withdrawal,UTSS_WS19,76.55249,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1982,,1982-12-31,1982-01-01
UDWR_Water Use Data,UDWR,UTSS_S15,UDWR_Site Specific Withdrawal,UTSS_WS15,34.80784,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1983,,1983-12-31,1983-01-01
UDWR_Water Use Data,UDWR,UTSS_S19,UDWR_Site Specific Withdrawal,UTSS_WS19,44.56144000000001,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1983,,1983-12-31,1983-01-01
UDWR_Water Use Data,UDWR,UTSS_S15,UDWR_Site Specific Withdrawal,UTSS_WS15,23.5148,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1984,,1984-12-31,1984-01-01
UDWR_Water Use Data,UDWR,UTSS_S19,UDWR_Site Specific Withdrawal,UTSS_WS19,42.95478,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1984,,1984-12-31,1984-01-01
UDWR_Water Use Data,UDWR,UTSS_S15,UDWR_Site Specific Withdrawal,UTSS_WS15,37.81011,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1985,,1985-12-31,1985-01-01
UDWR_Water Use Data,UDWR,UTSS_S19,UDWR_Site Specific Withdrawal,UTSS_WS19,59.9947,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1985,,1985-12-31,1985-01-01
UDWR_Water Use Data,UDWR,UTSS_S15,UDWR_Site Specific Withdrawal,UTSS_WS15,22.75834,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1986,,1986-12-31,1986-01-01
