SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
CAwr_S19883,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,16513.0,,Unspecified,CA,,Bad CoordinateMethodCV,19882.0
CAwr_S19884,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,10959.0,,Unspecified,CA,,Bad CoordinateMethodCV,19883.0
CAwr_S19885,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,5117.0,,Unspecified,CA,,Bad CoordinateMethodCV,19884.0
CAwr_S19887,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,28156.0,,Unspecified,CA,,Bad CoordinateMethodCV,19886.0
CAwr_S19898,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,22408.0,,Unspecified,CA,,Bad CoordinateMethodCV,19897.0
CAwr_S19933,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,22473.0,,Unspecified,CA,,Bad CoordinateMethodCV,19932.0
CAwr_S20065,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,28157.0,,Unspecified,CA,,Bad CoordinateMethodCV,20064.0
CAwr_S20107,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,10924.0,,Unspecified,CA,,Bad CoordinateMethodCV,20106.0
CAwr_S20392,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,27129.0,,Unspecified,CA,,Bad CoordinateMethodCV,20391.0
CAwr_S20612,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,45356.0,,Unspecified,CA,,Bad CoordinateMethodCV,20611.0
CAwr_S20681,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,33886.0,,Unspecified,CA,,Bad CoordinateMethodCV,20680.0
CAwr_S20726,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,11445.0,,Unspecified,CA,,Bad CoordinateMethodCV,20725.0
CAwr_S20781,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,39805.0,,Unspecified,CA,,Bad CoordinateMethodCV,20780.0
CAwr_S22339,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,19260.0,,Unspecified,CA,,Bad CoordinateMethodCV,22338.0
CAwr_S22735,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,30232.0,,Unspecified,CA,,Bad CoordinateMethodCV,22734.0
CAwr_S22874,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,7477.0,,Unspecified,CA,,Bad CoordinateMethodCV,22873.0
CAwr_S22875,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,15195.0,,Unspecified,CA,,Bad CoordinateMethodCV,22874.0
CAwr_S22876,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,30275.0,,Unspecified,CA,,Bad CoordinateMethodCV,22875.0
CAwr_S22900,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,30277.0,,Unspecified,CA,,Bad CoordinateMethodCV,22899.0
CAwr_S22901,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,38240.0,,Unspecified,CA,,Bad CoordinateMethodCV,22900.0
CAwr_S22911,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,26528.0,,Unspecified,CA,,Bad CoordinateMethodCV,22910.0
CAwr_S22918,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,15223.0,,Unspecified,CA,,Bad CoordinateMethodCV,22917.0
CAwr_S22919,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,15224.0,,Unspecified,CA,,Bad CoordinateMethodCV,22918.0
CAwr_S22921,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,3767.0,,Unspecified,CA,,Bad CoordinateMethodCV,22920.0
