in_MethodTypeCV,in_VariableSpecificCV,in_WaterSourceTypeCV,in_ReportingUnitName,in_ReportingUnitNativeID,in_ReportingUnitTypeCV,in_ReportYearCV,in_Amount,in_WaterSourceNativeID
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,1990,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,1991,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,1992,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,1993,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,1994,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,1995,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,1996,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,1997,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,1998,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,1999,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,2000,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,2001,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,2002,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,2003,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,2004,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,2005,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,2006,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,2007,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,2008,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,2009,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,2010,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,2011,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NEMAHA,8,Basin,2012,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,1988,46088,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,1989,47068,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,1990,47856,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,1991,48821,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,1992,51091,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,1993,51567,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,1994,51856,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,1995,53673,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,1996,57186,WaDENE_WS1
