SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NVwr_S7086,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.6768949992012,-118.07848600024299,,,072  N32 E35 05BCCA1,,,Underground,NV,
NVwr_S7087,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.48587199886421,-118.29104199973699,,,072  N30 E33 08ABAA1,,,Underground,NV,
NVwr_S7088,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.6596019991879,-118.49642900051902,,,072  N32 E31 09AABD1,,,Spring,NV,
NVwr_S7089,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.5718459990664,-117.89537500045601,,,072  N31 E36 11DBAD1,,,Underground,NV,
NVwr_S7090,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.5079369994674,-118.237766999878,,,072  N31 E33 35CAAA1,,,Underground,NV,
NVwr_S7091,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.61749999943179,-118.122799999455,,,072  N32 E34 27ADCD1,,,Spring,NV,
NVwr_S7092,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.6869439988305,-118.146399999547,,,072  N33 E34 33ACBB1,,,Underground,NV,
NVwr_S7093,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.776425999019104,-118.00689200011401,,,072  N34 E35 35DABB1,,,Underground,NV,
NVwr_S7094,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.7707359988059,-118.004237999518,,,072  N34 E35 35DDDD1,,,Underground,NV,
NVwr_S7095,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.6139069988164,-118.185553000208,,,072  N32 E34 30ABDA1,,,Underground,NV,
NVwr_S7096,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.7297359986865,-117.94730800042,,,072  N33 E36 17DDAA1,,,Underground,NV,
NVwr_S7097,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.7503879986791,-117.908771000201,,,072  N33 E36 10ADAD1,,,stream,NV,
NVwr_S7098,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.580727998655895,-118.20443699952801,,,072  N31 E34 07BBA 1,,,stream,NV,
NVwr_S7099,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.7140179989861,-118.46469399998301,,,072  N33 E31 23BCBD1,,,Spring,NV,
NVwr_S7100,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.7898749994499,-118.111722000417,,,072  N34 E34 25CACA1,,,Spring,NV,
NVwr_S7101,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.8373579987056,-118.162244000079,,,072  N34 E34 09ACDA1,,,Spring,NV,
NVwr_S7102,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.8351119990498,-118.15349700031,,,072  N34 E34 10CBAB1,,,Spring,NV,
NVwr_S7103,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.8162679993843,-118.174895999827,,,072  N34 E34 16CCBC1,,,Spring,NV,
NVwr_S7104,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.8149999988567,-118.166394000497,,,072  N34 E34 16CDDA1,,,Spring,NV,
NVwr_S7105,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.6349609991274,-118.512318000202,,,072  N32 E31 16CCBB1,,,Spring,NV,
NVwr_S7106,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.23590699922229,-118.419994999535,,,073  N27 E32 06DADA1,,,stream,NV,
NVwr_S7107,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.282918998940296,-118.381397000575,,,073  N28 E32 21AAAA1,,,stream,NV,
NVwr_S7108,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.4698149994981,-118.307741000371,,,072  N30 E33 18AACA1,,,stream,NV,
NVwr_S7109,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.0172609994886,-118.669820999461,,,073  N25 E29 24DCAA1,,,Spring,NV,
NVwr_S7110,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.199961998900214,-118.44750300041201,,,073  N27 E31 24ABBC1,,,Underground,NV,
NVwr_S7111,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.2125269987723,-118.494417999954,,,073  N27 E31 15BCBB1,,,Underground,NV,
NVwr_S7112,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.1006739988774,-118.541409000279,,,073  N26 E31 19DCCD1,,,stream,NV,
NVwr_S7113,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.0427029993712,-118.55221699969299,,,073  N25 E31 07CCCC1,,,stream,NV,
