,WaterSourceUUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
329,,,MC BRIDE CREEK,BIG WOOD RIVER,Fresh,,
330,,,KING HILL CREEK,LITTLE LOST RIVER,Fresh,,
331,,,DEER CREEK,SPRING,Fresh,,
332,,,BOISE RIVER,BRASSFIELD CANYON CREEK,Fresh,,
333,,,MUDDY CREEK,UNNAMED STREAM,Fresh,,
334,,,CURLEW GULCH CREEK,GROUND WATER,Fresh,,
335,,,TACKET GULCH CREEK,GROUND WATER,Fresh,,
336,,,NORTH DRAIN,GROUND WATER,Fresh,,
337,,,CURLEW CREEK,GROUND WATER,Fresh,,
338,,,GROUCH DRAIN,GROUND WATER,Fresh,,
339,,,DRAINS,GROUND WATER,Fresh,,
340,,,GRAVEYARD GULCH WASTEWAY,GROUND WATER,Fresh,,
341,,,SHAFER CREEK,GROUND WATER,Fresh,,
342,,,PETERSON GULCH CREEK,GROUND WATER,Fresh,,
343,,,PETERSON CREEK,GROUND WATER,Fresh,,
344,,,TWO TREE GULCH CREEK,GROUND WATER,Fresh,,
345,,,FIR CREEK,GROUND WATER,Fresh,,
346,,,HOG CREEK,GROUND WATER,Fresh,,
347,,,MILK CREEK,GROUND WATER,Fresh,,
348,,,ROAD GULCH CREEK,GROUND WATER,Fresh,,
349,,,NORTH CRANE CREEK,GROUND WATER,Fresh,,
350,,,CAMP CREEK,GROUND WATER,Fresh,,
351,,,IRON CREEK,GROUND WATER,Fresh,,
352,,,BIG BOULDER CREEK,GROUND WATER,Fresh,,
353,,,MORGAN CREEK,GROUND WATER,Fresh,,
354,,,SPUD CREEK,GROUND WATER,Fresh,,
355,,,JOES GULCH CREEK,GROUND WATER,Fresh,,
356,,,PAHSIMEROI RIVER,GROUND WATER,Fresh,,
357,,,MC DEVITT CREEK,GROUND WATER,Fresh,,
358,,,SANDY CREEK,GROUND WATER,Fresh,,
359,,,FLUME CREEK,GROUND WATER,Fresh,,
360,,,FREEMAN CREEK,GROUND WATER,Fresh,,
361,,,LITTLE HAT CREEK,GROUND WATER,Fresh,,
362,,,PARTRIDGE CREEK,GROUND WATER,Fresh,,
363,,,VICK CREEK,GROUND WATER,Fresh,,
364,,,MC KINZIE CREEK,GROUND WATER,Fresh,,
365,,,QUARTZ CREEK,SALMON FALLS CREEK,Fresh,,
366,,,SIXMILE CANYON CREEK,SODA CREEK,Fresh,,
367,,,SUZIE CREEK,UNNAMED STREAM,Fresh,,
368,,,ST JOE RIVER,CRAWFORD CREEK,Fresh,,
369,,,WOLF DRAW CREEK,GROUND WATER,Fresh,,
370,,,MOCTILEME CREEK,SPRING,Fresh,,
371,,,SMITH CREEK,SPRING,Fresh,,
372,,,MOORES CREEK,MABEY SPRING,Fresh,,
373,,,THOMAS FORK,SPRING,Fresh,,
374,,,BLACK CANYON CREEK,SPRING,Fresh,,
375,,,BURTON CREEK,SPRINGS,Fresh,,
376,,,BEAR CREEK,GROUND WATER,Fresh,,
377,,,TANK SPRING,GROUND WATER,Fresh,,
378,,,UPPER SAND CREEK,GROUND WATER,Fresh,,
379,,,HELL CREEK,THOUSAND SPRINGS,Fresh,,
380,,,SAND CREEK,THOUSAND SPRINGS,Fresh,,
381,,,GRAVE CREEK,THOUSAND SPRINGS,Fresh,,
382,,,CALDWELL CANYON CREEK,THOUSAND SPRINGS,Fresh,,
383,,,TWENTYFOUR MILE CREEK,GROUND WATER,Fresh,,
384,,,HOOLIE SPRINGS,GROUND WATER,Fresh,,
385,,,WEST THREEMILE CREEK,GROUND WATER,Fresh,,
386,,,ARCO CITY DRAIN,GROUND WATER,Fresh,,
387,,,HOWELL SPRING,GROUND WATER,Fresh,,
388,,,THOUSAND SPRINGS CREEK,GROUND WATER,Fresh,,
389,,,POLE STACKYARD CREEK,GROUND WATER,Fresh,,
390,,,MARKET LAKE SLOUGH CREEK,GROUND WATER,Fresh,,
391,,,WARM CREEK,GROUND WATER,Fresh,,
392,,,DEVILS CORRAL SPRINGS,GROUND WATER,Fresh,,
393,,,CHIMNEY CREEK,GROUND WATER,Fresh,,
394,,,DEMOCRAT GULCH CREEK,GROUND WATER,Fresh,,
395,,,CASSIA CREEK,GROUND WATER,Fresh,,
396,,,JAY CREEK,GROUND WATER,Fresh,,
397,,,LOWER CURTIS SPRING,GROUND WATER,Fresh,,
398,,,LITTLE HOUSE CREEK,GROUND WATER,Fresh,,
399,,,MUD CREEK,GROUND WATER,Fresh,,
400,,,THREE CREEK,GROUND WATER,Fresh,,
401,,,JACKS CREEK,WARM SPRING CREEK,Fresh,,
402,,,COLUMBET CREEK,MC DONALD GULCH CREEK,Fresh,,
403,,,LITTLE HART CREEK,UNNAMED STREAM,Fresh,,
404,,,SAGE CREEK,TROUT CREEK,Fresh,,
405,,,ROOST CREEK,TROUT CREEK,Fresh,,
406,,,CONFEDERATE GULCH CREEK,DEEP CREEK,Fresh,,
407,,,RUSH CREEK,SHOSHONE CREEK,Fresh,,
408,,,FALL CREEK,SHOSHONE CREEK,Fresh,,
409,,,FIR TREE GULCH CREEK,SUCCOR CREEK,Fresh,,
410,,,HOLLAND GULCH CREEK,GROUND WATER,Fresh,,
411,,,BOULDER LAKE,GROUND WATER,Fresh,,
412,,,ARCHIE CREEK,GROUND WATER,Fresh,,
413,,,LITTLE PAYETTE LAKE,GROUND WATER,Fresh,,
414,,,BULL GULCH,GROUND WATER,Fresh,,
415,,,LITTLE WEISER RIVER,GROUND WATER,Fresh,,
416,,,NO BUSINESS CREEK,GROUND WATER,Fresh,,
417,,,TENMILE CREEK,GROUND WATER,Fresh,,
418,,,WIMPEY CREEK,GROUND WATER,Fresh,,
419,,,WITHINGTON CREEK,GROUND WATER,Fresh,,
420,,,LEMHI RIVER,GROUND WATER,Fresh,,
421,,,SIXMILE CREEK,GROUND WATER,Fresh,,
422,,,FOURMILE CREEK,GROUND WATER,Fresh,,
423,,,SKOOKUMCHUCK CREEK,GROUND WATER,Fresh,,
424,,,TAMMANY CREEK,UNNAMED STREAMS,Fresh,,
425,,,FOURTH OF JULY CREEK,GROUND WATER,Fresh,,
426,,,RATHDRUM CREEK,GROUND WATER,Fresh,,
427,,,JOHNSON CREEK,GROUND WATER,Fresh,,
428,,,RUEN CREEK,GROUND WATER,Fresh,,
429,,,HOODOO CREEK,GROUND WATER,Fresh,,
430,,,BAILEY CREEK,GROUND WATER,Fresh,,
431,,,NINETY PERCENT SPRING,GROUND WATER,Fresh,,
432,,,OVID CREEK,GROUND WATER,Fresh,,
433,,,MAPLE CANYON CREEK,GROUND WATER,Fresh,,
434,,,WORM CREEK,GROUND WATER,Fresh,,
435,,,STAUFFER CREEK,GROUND WATER,Fresh,,
436,,,PARIS CREEK,GROUND WATER,Fresh,,
437,,,GOOSEBERRY CREEK,GROUND WATER,Fresh,,
438,,,STOCKTON CREEK,BARN CANYON CREEK,Fresh,,
439,,,LITTLE MALAD RIVER,BIG WOOD RIVER,Fresh,,
440,,,CONANT CREEK,GROUND WATER,Fresh,,
441,,,UNNAMED LAKE,GROUND WATER,Fresh,,
